,YYYY/MM/DD,BTC/USD,LTC/USD,XRP/USD,XMR/USD,ETH/USD,NEO/USD,IOTA/USD,XAU/USD_y
0,2/20/2018,11403.7,232.85,1.09,304.4,895.37,128.36,1.91,1344.935645
1,2/16/2018,10233.9,230.12,1.14,296.48,944.21,128.85,2.1,1357.459921
2,2/15/2018,10166.4,225.43,1.15,303.25,936.98,123.29,2.13,1356.944162
3,2/14/2018,9494.63,213.36,1.14,276.66,923.56,122.52,2.03,1333.404448
4,2/13/2018,8598.31,159.55,1.03,234.69,845.26,111.17,1.81,1328.903654
5,2/12/2018,8926.57,161.57,1.08,247.57,868.71,113.25,1.87,1323.907115
6,2/9/2018,8736.98,163.95,0.954428,260.43,883.87,117.57,1.96,1317.88769
7,2/8/2018,8265.59,149.47,0.805263,247.22,817.81,112.43,1.78,1319.888073
8,2/7/2018,7621.3,138.2,0.723895,207.28,757.07,102.5,1.6,1324.906925
9,2/6/2018,7754,142.99,0.776393,212.29,793.12,105.95,1.62,1337.416913
10,2/5/2018,6955.27,125.33,0.691799,179.49,697.95,82.37,1.45,1339.423244
11,2/2/2018,8830.75,131.38,0.884784,235.63,915.78,120.13,1.81,1338.921097
12,2/1/2018,9170.54,142.3,0.96253,240.97,1036.79,126,1.91,1343.435972
13,1/31/2018,10221.1,163.35,1.16,272.89,1118.31,145.76,2.31,1347.945058
14,1/30/2018,10106.3,165.28,1.14,274.02,1071.13,146.28,2.22,1350.931467
15,1/29/2018,11296.4,181.66,1.32,316.63,1182.36,168.14,2.58,1347.945058
16,1/26/2018,11171.4,176.73,1.22,323.69,1055.17,137.89,2.37,1358.954149
17,1/25/2018,11259.4,180.27,1.31,317.1,1056.03,138,2.37,1363.958754
18,1/24/2018,11359.4,179.99,1.36,317.4,1058.78,136.41,2.43,1360.951577
19,1/23/2018,10868.4,177.81,1.34,308.46,986.23,121.6,2.5,1335.916104
20,1/22/2018,10931.4,180.01,1.36,315.9,1003.26,123.66,2.47,1335.916104
