,Date,BCHBTC_d,DASHBTC,ETCBTC,ETHBTC,GASBTC_e,GNOBTC_e,LSKBTC,LTCBTC,NXTBTC,OMGBTC_e,POTBTC,REPBTC_e,XEMBTC,XMRBTC,XRPBTC,ZECBTC_e,ZRXBTC_e,USDBTC_d
0,2017-07-01 01-PM,,0.0703,0.00694,0.1095,,0.128115,0.000966,0.01584,6.22E-05,,3.90E-05,0.01096095,6.34E-05,0.0173,9.98E-05,0.117165,,0.00042223
1,2017-07-01 02-PM,,0.07051,0.006915,0.1085,,0.126945,0.0009847,0.01584,6.03E-05,,3.92E-05,0.0105245,6.27E-05,0.01731,9.97E-05,0.11718,,0.00042155
2,2017-07-01 03-PM,,0.07067,0.00698,0.1107,,0.13284,0.001004,0.0159,5.79E-05,,3.86E-05,0.01078218,6.25E-05,0.01717,9.95E-05,0.116235,,0.000415966
3,2017-07-01 04-PM,,0.06941,0.00691,0.1093,,0.130067,0.0009839,0.01588,5.83E-05,,3.81E-05,0.010592263,6.24E-05,0.0171,9.94E-05,0.116951,,0.000417819
4,2017-07-01 05-PM,,0.06929,0.006879,0.108,,0.13068,0.000955,0.01582,5.80E-05,,3.82E-05,0.0105516,6.19E-05,0.01707,9.94E-05,0.11556,,0.00042053
5,2017-07-01 06-PM,,0.06955,0.00681,0.107,,0.1284,0.0009558,0.01565,5.69E-05,,3.72E-05,0.01049777,6.14E-05,0.01701,9.88E-05,0.11556,,0.000425532
6,2017-07-01 07-PM,,0.06956,0.006738,0.106,,0.1272,0.000963,0.01562,5.47E-05,,3.61E-05,0.01038906,6.11E-05,0.01691,9.87E-05,0.11448,,0.000427798
7,2017-07-01 08-PM,,0.06923,0.00679,0.1069,,0.127211,0.0009553,0.0156,5.43E-05,,3.61E-05,0.010146948,6.09E-05,0.01679,9.85E-05,0.113314,,0.000434007
8,2017-07-01 09-PM,,0.06814,0.006754,0.1067,,0.126973,0.0009503,0.01549,5.40E-05,,3.63E-05,0.0102432,6.02E-05,0.01703,9.87E-05,0.114169,,0.000432827
9,2017-07-01 10-PM,,0.06809,0.006826,0.1087,,0.127179,0.0009633,0.01559,5.57E-05,,3.65E-05,0.010226496,5.96E-05,0.01715,9.89E-05,0.114135,,0.000429183
10,2017-07-01 11-AM,,0.07082,0.006982,0.1094,,0.129092,0.0009806,0.01571,6.18E-05,,3.98E-05,0.0111588,6.30E-05,0.01738,9.94E-05,0.117058,,0.000412712
11,2017-07-01 11-PM,,0.06784,0.006893,0.1087,,0.126092,0.0009486,0.0158,5.66E-05,,3.70E-05,0.010394981,6.00E-05,0.0171,9.88E-05,0.116309,,0.000426159
12,2017-07-01 12-PM,,0.07054,0.006976,0.1105,,0.13039,0.0009691,0.01587,6.21E-05,,3.91E-05,0.01103895,6.27E-05,0.01738,9.96E-05,0.11713,,0.000416734
13,2017-07-02 01-AM,,0.06868,0.006847,0.1091,,0.122192,0.0009409,0.01566,5.41E-05,,3.63E-05,0.010239035,6.24E-05,0.01702,9.99E-05,0.114555,,0.000429738
14,2017-07-02 01-PM,,0.06978,0.00686,0.1077,,0.130317,0.000983,0.01586,5.49E-05,,3.68E-05,0.010256271,6.23E-05,0.01695,0.0001002,0.113085,,0.000425894
15,2017-07-02 02-AM,,0.06878,0.0068,0.1065,,0.118215,0.000931,0.01547,5.25E-05,,3.64E-05,0.010050405,6.00E-05,0.01713,9.95E-05,0.11289,,0.000431218
16,2017-07-02 02-PM,,0.06932,0.006879,0.1078,,0.128282,0.0009771,0.01585,5.50E-05,,3.67E-05,0.01024639,6.15E-05,0.0169,9.99E-05,0.11319,,0.000424719
17,2017-07-02 03-AM,,0.06887,0.006858,0.1069,,0.118659,0.0009087,0.01557,5.33E-05,,3.65E-05,0.010167259,6.17E-05,0.017,0.0001002,0.112245,,0.000433751
18,2017-07-02 03-PM,,0.06863,0.006839,0.1082,,0.12984,0.0009678,0.01593,5.45E-05,,3.69E-05,0.010269262,6.14E-05,0.01699,9.95E-05,0.114692,,0.000419287
19,2017-07-02 04-AM,,0.06917,0.006866,0.1069,,0.115452,0.0009162,0.01562,5.31E-05,,3.65E-05,0.010072118,6.17E-05,0.01696,0.0001004,0.113314,,0.000431965
20,2017-07-02 04-PM,,0.06881,0.0069,0.1094,,0.129092,0.0009527,0.01625,5.39E-05,,3.69E-05,0.010351428,6.13E-05,0.01702,9.94E-05,0.11487,,0.000417711
21,2017-07-02 05-AM,,0.06949,0.006907,0.1076,,0.117284,0.000931,0.01568,5.50E-05,,3.67E-05,0.0100068,6.12E-05,0.01713,0.0001001,0.11298,,0.000425813
22,2017-07-02 05-PM,,0.06838,0.006933,0.1122,,0.127908,0.0009859,0.01613,5.41E-05,,3.68E-05,0.010279764,6.13E-05,0.0173,9.95E-05,0.115566,,0.000414504
23,2017-07-02 06-AM,,0.06968,0.006934,0.1078,,0.117502,0.0009267,0.01575,5.34E-05,,3.68E-05,0.0100254,6.11E-05,0.01713,0.0001005,0.114268,,0.000429069
24,2017-07-02 06-PM,,0.06881,0.00691,0.1121,,0.127794,0.000997,0.01635,5.50E-05,,3.73E-05,0.010465656,6.07E-05,0.01732,9.97E-05,0.116584,,0.000414938
25,2017-07-02 07-AM,,0.06999,0.006987,0.1093,,0.119137,0.001003,0.01583,5.26E-05,,3.70E-05,0.010116808,6.10E-05,0.0171,9.98E-05,0.116951,,0.000425532
26,2017-07-02 07-PM,,0.06881,0.006948,0.1127,,0.130732,0.001,0.01653,5.60E-05,,3.73E-05,0.010428131,6.13E-05,0.01736,9.99E-05,0.116081,,0.000412541
27,2017-07-02 08-AM,,0.07037,0.006996,0.111,,0.11877,0.001025,0.01586,5.62E-05,,3.73E-05,0.01017537,6.22E-05,0.017,9.99E-05,0.11655,,0.000417561
28,2017-07-02 08-PM,,0.06949,0.006924,0.113,,0.12882,0.001011,0.01665,5.63E-05,,3.84E-05,0.010396,6.21E-05,0.01715,1.00E-04,0.11865,,0.000411108
29,2017-07-02 09-AM,,0.0708,0.006925,0.1094,,0.122528,0.0009736,0.01595,5.53E-05,,3.67E-05,0.010277036,6.24E-05,0.017,9.97E-05,0.117058,,0.00042337
30,2017-07-02 09-PM,,0.06951,0.006965,0.1157,,0.128427,0.00103,0.01665,5.57E-05,,3.83E-05,0.0106444,6.27E-05,0.01712,1.00E-04,0.120328,,0.000406431
31,2017-07-02 10-AM,,0.06962,0.006884,0.1087,,0.125005,0.0009447,0.01585,5.41E-05,,3.67E-05,0.010297151,6.16E-05,0.01695,9.93E-05,0.115222,,0.000422744
32,2017-07-02 10-PM,,0.06934,0.006925,0.1134,,0.129276,0.001022,0.01641,5.46E-05,,3.85E-05,0.010361358,6.23E-05,0.01712,0.0001003,0.11907,,0.000409997
33,2017-07-02 11-AM,,0.06945,0.00686,0.1093,,0.13116,0.0009435,0.01595,5.51E-05,,3.67E-05,0.010190039,6.16E-05,0.01689,9.97E-05,0.114765,,0.000420521
34,2017-07-02 11-PM,,0.06901,0.006957,0.1132,,0.129048,0.001023,0.01652,5.55E-05,,3.94E-05,0.01051628,6.35E-05,0.0171,0.0001009,0.117728,,0.000410654
35,2017-07-02 12-AM,,0.068,0.00682,0.1084,,0.128996,0.0009509,0.01565,5.48E-05,,3.70E-05,0.010210196,6.12E-05,0.0172,9.94E-05,0.117072,,0.000433403
36,2017-07-02 12-PM,,0.06988,0.0069,0.1089,,0.129591,0.000974,0.01601,5.58E-05,,3.67E-05,0.010205019,6.14E-05,0.01689,0.0001002,0.114345,,0.000423549
37,2017-07-03 01-AM,,0.0691,0.006879,0.111,,0.12987,0.0009991,0.0164,5.43E-05,,3.94E-05,0.01040736,6.40E-05,0.01691,9.95E-05,0.11544,,0.000408975
38,2017-07-03 01-PM,,0.07039,0.006859,0.1101,,0.138726,0.0009904,0.01825,5.48E-05,,3.72E-05,0.010861365,6.41E-05,0.017,9.94E-05,0.113403,,0.00039066
39,2017-07-03 02-AM,,0.07,0.006898,0.1129,,0.130964,0.001014,0.01638,5.39E-05,,3.86E-05,0.010526796,6.38E-05,0.017,9.97E-05,0.116287,,0.000413167
40,2017-07-03 02-PM,,0.07012,0.006837,0.1098,,0.132858,0.0009973,0.018,5.40E-05,,3.75E-05,0.01100196,6.40E-05,0.01702,9.88E-05,0.113094,,0.000394926
41,2017-07-03 03-AM,,0.06968,0.00685,0.1125,,0.13275,0.001006,0.01671,5.35E-05,,3.83E-05,0.010504125,6.37E-05,0.01702,9.98E-05,0.11475,,0.000412882
42,2017-07-03 03-PM,,0.0704,0.00681,0.1097,,0.133834,0.0009935,0.01829,5.46E-05,,3.81E-05,0.0110797,6.41E-05,0.01711,9.90E-05,0.112991,,0.000390067
43,2017-07-03 04-AM,,0.06886,0.0069,0.1125,,0.135,0.0009885,0.01764,5.45E-05,,3.87E-05,0.01045125,6.33E-05,0.01718,9.90E-05,0.115875,,0.00040833
44,2017-07-03 04-PM,,0.07025,0.0068,0.11,,0.1331,0.0009822,0.01838,5.42E-05,,3.81E-05,0.011077,6.57E-05,0.01724,9.87E-05,0.1122,,0.000393345
45,2017-07-03 05-AM,,0.06938,0.006892,0.1123,,0.135883,0.000984,0.0176,5.45E-05,,3.84E-05,0.010456253,6.36E-05,0.01727,9.93E-05,0.115669,,0.000409165
46,2017-07-03 05-PM,,0.07032,0.006828,0.1105,,0.1326,0.000967,0.01833,5.44E-05,,3.75E-05,0.0111163,6.58E-05,0.01721,9.92E-05,0.11271,,0.000395257
47,2017-07-03 06-AM,,0.07,0.006818,0.1113,,0.134673,0.000982,0.01792,5.35E-05,,3.72E-05,0.010431036,6.42E-05,0.01703,9.98E-05,0.115752,,0.000407633
48,2017-07-03 06-PM,,0.07045,0.00679,0.1099,,0.13188,0.00098,0.018,5.46E-05,,3.83E-05,0.01137465,6.64E-05,0.0173,9.93E-05,0.112098,,0.000397614
49,2017-07-03 07-AM,,0.06971,0.006849,0.1111,,0.13332,0.0009724,0.01805,5.30E-05,,3.75E-05,0.01047673,6.40E-05,0.01702,0.0001,0.114433,,0.000411787
50,2017-07-03 07-PM,,0.07021,0.00678,0.1096,,0.129328,0.0009638,0.01806,5.46E-05,,3.87E-05,0.01133264,6.63E-05,0.01722,9.88E-05,0.111792,,0.000393856
51,2017-07-03 08-AM,,0.07023,0.006858,0.1112,,0.134552,0.0009665,0.01766,5.27E-05,,3.73E-05,0.010433896,6.41E-05,0.017,9.99E-05,0.114536,,0.000412218
52,2017-07-03 08-PM,,0.0708,0.00677,0.1093,,0.130067,0.0009605,0.01822,5.56E-05,,3.87E-05,0.01126883,6.60E-05,0.01711,9.91E-05,0.111486,,0.000394331
53,2017-07-03 09-AM,,0.06989,0.006834,0.1105,,0.135915,0.0009794,0.01766,5.19E-05,,3.80E-05,0.010465455,6.39E-05,0.01702,9.99E-05,0.113815,,0.000411523
54,2017-07-03 09-PM,,0.07088,0.006744,0.1092,,0.129948,0.0009683,0.01823,5.50E-05,,3.87E-05,0.01138956,6.61E-05,0.017,9.94E-05,0.113568,,0.000390591
