,Date,BCHUSD,BTCUSD,DASHUSD,ETCUSD,ETHUSD,GASUSD_e,GNOUSD_e,LSKUSD_b,LTCUSD,NXTUSD_b,OMGUSD_e,POTUSD_b,REPUSD_e,XEMUSD_b,XMRUSD,XRPUSD_b,ZECUSD_e,ZRXUSD_e
0,2017-07-01 11,,2423,171,16.89,264.54,,312.1572,2.3759938,38.04,0.1497414,,0.09645963,26.98308,0.152649,42.16,0.24089466,283.0578,
1,2017-07-01 12,,2399.61,170.5,16.68,265.82,,313.6676,2.325462051,37.84,0.148895801,,0.093704771,26.555418,0.150431551,41.91,0.239001156,281.7692,
2,2017-07-01 13,,2368.38,168.3,16.52,260.47,,304.7499,2.28785508,37.59,0.147218501,,0.092414188,26.073047,0.150226343,41.19,0.236364324,278.7029,
3,2017-07-01 14,,2372.2,166.95,16.41,257.97,,301.8249,2.33590534,37.58,0.143114826,,0.092966518,25.02309,0.14861833,41,0.236555784,278.6076,
4,2017-07-01 15,,2404.04,169.63,16.67,265.62,,318.744,2.41365616,38.05,0.139193916,,0.092723823,25.871388,0.150324621,41.27,0.23920198,278.901,
5,2017-07-01 16,,2393.38,166.5,16.5,261.94,,311.7086,2.354846582,38.05,0.139534054,,0.091211712,25.3846054,0.149299044,41,0.237925906,280.2758,
6,2017-07-01 17,,2377.95,165.16,16.36,256,,309.76,2.27094225,37.72,0.1379211,,0.090885249,25.0112,0.147242664,40.42,0.23636823,273.92,
7,2017-07-01 18,,2350,161,15.92,253.89,,304.668,2.24613,36.73,0.1335975,,0.08742,24.9091479,0.1443605,39.73,0.2321565,274.2012,
8,2017-07-01 19,,2337.55,162.58,15.81,247.81,,297.372,2.25106065,36.61,0.127910736,,0.084408931,24.2878581,0.142824305,39.32,0.230786312,267.6348,
9,2017-07-01 20,,2304.11,158.79,15.7,246.16,,292.9304,2.201116283,35.81,0.125090132,,0.083086207,23.3655072,0.140228135,38.56,0.227023958,260.9296,
10,2017-07-01 21,,2310.39,158.58,15.79,246.7,,293.573,2.195563617,35.86,0.124830372,,0.083959573,23.6832,0.139085478,39.36,0.227966181,263.969,
11,2017-07-01 22,,2330.01,158.58,15.75,252.91,,295.9047,2.244498633,36.14,0.129734957,,0.084928865,23.7937728,0.138961796,39.85,0.230531189,265.5555,
12,2017-07-01 23,,2346.54,159.05,16.12,254.5,,295.22,2.225927844,37.12,0.132743768,,0.086868911,24.337835,0.140745469,40.2,0.231908548,272.315,
13,2017-07-02 00,,2307.32,158.21,15.85,250.7,,298.333,2.194030588,36.15,0.126487282,,0.085278547,23.613433,0.141115691,40,0.229301462,270.756,
14,2017-07-02 01,,2327,159.38,15.94,252.49,,282.7888,2.1894743,36.33,0.1258907,,0.08440029,23.6961865,0.14513499,39.8,0.23256038,265.1145,
15,2017-07-02 02,,2319.01,158.91,15.88,246.89,,274.0479,2.15899831,35.81,0.121748025,,0.084319204,23.2990093,0.13921017,39.51,0.230811065,261.7034,
16,2017-07-02 03,,2305.47,160,15.86,246.99,,274.1589,2.094980589,35.7,0.122904606,,0.084149655,23.4912189,0.142270554,39.22,0.231008094,259.3395,
17,2017-07-02 04,,2315,159.49,15.88,247,,266.76,2.121003,36.19,0.12285705,,0.08452065,23.27234,0.14290495,39.04,0.232426,261.82,
18,2017-07-02 05,,2348.45,163.69,16.2,252.57,,275.3013,2.18640695,36.94,0.129141266,,0.086258569,23.48901,0.143701656,40.05,0.235079845,265.1985,
19,2017-07-02 06,,2330.63,160.03,16.13,250.58,,273.1322,2.159794821,36.55,0.124409029,,0.085720571,23.30394,0.142401493,39.16,0.234228315,265.6148,
20,2017-07-02 07,,2350,163.84,16.37,256.61,,279.7049,2.35705,37.14,0.1235865,,0.0869265,23.7518216,0.1433735,39.99,0.2344125,274.5727,
21,2017-07-02 08,,2394.86,168.05,16.77,264.55,,283.0685,2.4547315,37.94,0.134495338,,0.089280381,24.2512985,0.148840549,40.85,0.239126771,277.7775,
