Jul.Day,YYYY/MM/DD,Wdy,SEK/USD,CHF/USD,TWD/USD,THB/USD,TTD/USD,TND/USD,TRY/USD,AED/USD,UYU/USD,VEF/USD,VND/USD,ZMW/USD,ZMK/USD
2451183,1/4/1999,Mon,8.0205,1.3663,32.153,36.203,6.2528,1.0948,0.31587,3.671,10.691,0.56488,,,2193.3
2451184,1/5/1999,Tue,7.9701,1.3699,32.188,36.102,6.2547,1.0902,0.31634,3.673,10.691,0.56565,,,2195.9
2451185,1/6/1999,Wed,7.9448,1.391,32.1,36.393,6.2538,1.0934,0.31743,3.6706,10.834,0.56566,,,2194.9
2451186,1/7/1999,Thu,7.8945,1.3853,32.152,36.272,6.2549,1.0992,0.32005,,,0.56601,,,2194.4
2451187,1/8/1999,Fri,7.9158,1.397,32.175,36.452,6.2541,1.1008,0.31825,,,0.56685,,,2198.5
2451190,1/11/1999,Mon,7.8509,1.3962,32.155,36.232,6.2533,1.1087,0.3224,3.6707,10.931,0.56694,,,2194
2451191,1/12/1999,Tue,7.7899,1.3886,32.207,36.429,6.2532,1.107,0.3214,3.6593,10.817,0.56683,,,2194.1
2451192,1/13/1999,Wed,7.808,1.3584,32.199,37.053,6.2528,1.1003,0.32425,3.683,10.887,0.5679,,,2202.6
2451193,1/14/1999,Thu,7.7931,1.3627,32.278,37.013,6.2536,1.0993,0.32022,3.662,10.817,0.5684,,,2194.6
2451194,1/15/1999,Fri,7.8621,1.3783,32.204,36.495,6.282,1.105,0.33033,3.68,10.911,0.56987,,,2195.5
2451197,1/18/1999,Mon,7.8511,1.3808,32.259,36.432,6.2809,1.1043,0.32148,3.6756,10.698,0.56982,,,2197.8
2451198,1/19/1999,Tue,7.7655,1.375,32.322,36.433,6.2826,1.1049,0.31933,3.651,10.964,0.56976,,,2199.3
2451199,1/20/1999,Wed,7.7235,1.39,32.266,36.427,6.2801,1.1073,0.32142,3.6749,11.036,0.57036,,,2191.8
2451200,1/21/1999,Thu,7.7402,1.3865,32.257,36.498,6.2814,1.1041,0.32262,3.6886,11.077,0.5708,,,2191
2451201,1/22/1999,Fri,7.7281,1.383,32.3,36.876,6.2538,1.1052,0.3256,3.6706,10.933,0.57146,,,2192.3
2451204,1/25/1999,Mon,7.7231,1.3818,32.32,36.903,6.2531,1.1048,0.32505,3.6583,10.896,0.57216,,,2193.1
2451205,1/26/1999,Tue,7.7094,1.3868,32.374,36.696,6.2538,1.1049,0.32752,3.674,10.944,0.57219,,,2194
2451206,1/27/1999,Wed,7.7154,1.4014,32.307,36.767,6.2529,1.1119,0.32872,3.6747,10.945,0.57277,,,2194.1
2451207,1/28/1999,Thu,7.7659,1.4162,32.33,36.958,6.2541,1.1121,0.33243,3.6919,11.028,0.57304,,,2195.8
2451208,1/29/1999,Fri,7.7862,1.4153,32.313,36.91,6.2548,1.1142,0.33061,3.6638,10.944,0.57403,,,2185.3
2451211,2/1/1999,Mon,7.8359,1.4232,32.245,36.763,6.2537,1.1192,0.33342,3.6723,10.969,0.57507,,,2193.1
2451212,2/2/1999,Tue,7.8358,1.4113,32.287,36.644,6.2543,1.1167,0.33376,3.6664,10.922,0.57611,,,2194
2451213,2/3/1999,Wed,7.8618,1.4135,32.255,36.706,6.2537,1.1186,0.33506,3.6771,10.944,0.5698,,,2194.7
2451214,2/4/1999,Thu,7.8548,1.4163,32.32,36.787,6.2529,1.1219,0.33684,3.6787,10.948,0.5763,,,2193.1
2451215,2/5/1999,Fri,7.8553,1.4179,32.266,36.79,6.2539,1.1246,0.33564,3.6651,10.908,0.57667,,,2193.5
2451218,2/8/1999,Mon,7.8626,1.417,32.269,36.931,6.253,1.1292,0.33783,3.6634,10.903,0.57681,,,2193.8
2451219,2/9/1999,Tue,7.888,1.4172,32.299,37.089,6.2529,1.1246,0.33748,3.6673,10.915,0.57742,,,2194.2
2451220,2/10/1999,Wed,7.8854,1.4091,32.299,37.041,6.2542,1.127,0.3391,3.6824,10.959,0.57776,,,2200.7
2451221,2/11/1999,Thu,7.8866,1.4155,32.313,36.939,6.2537,1.1284,0.33845,3.6636,10.894,0.5778,,,2190.5
2451222,2/12/1999,Fri,7.8739,1.4159,32.297,36.924,6.2536,1.1311,0.34109,3.6764,10.701,0.57744,,,2194.2
2451225,2/15/1999,Mon,7.8995,1.4214,32.298,36.793,6.2528,1.1336,0.34148,,,0.57743,,,2195.4
2451226,2/16/1999,Tue,7.9297,1.4286,32.303,36.915,6.2531,1.141,0.3452,3.6848,10.957,0.5774,,,2200.2
2451227,2/17/1999,Wed,7.9286,1.4242,32.354,36.965,6.2549,1.1371,0.34417,3.6808,10.945,0.57732,,,2198.8
2451228,2/18/1999,Thu,7.9604,1.4245,32.354,37.055,6.2531,1.1383,0.34421,3.6732,10.932,0.57748,,,2195.8
2451229,2/19/1999,Fri,8.021,1.4463,32.475,37.492,6.2539,1.1459,0.34654,3.6819,10.993,0.5763,,,2196.4
2451232,2/22/1999,Mon,8.0647,1.4483,33.144,37.646,6.2549,1.1561,0.35027,3.6769,10.968,0.57702,,,2199.4
2451233,2/23/1999,Tue,8.0897,1.4502,33.045,37.556,6.2541,1.16,0.35181,3.6752,11.012,0.57739,,,2194.9
2451234,2/24/1999,Wed,8.1446,1.4513,33.148,37.55,6.2546,1.1562,0.35224,3.6702,10.997,0.57727,,,2195.4
2451235,2/25/1999,Thu,8.1039,1.434,33.049,37.493,6.2529,1.1551,0.35131,3.6638,10.967,0.57712,,,2198.2
2451236,2/26/1999,Fri,8.1879,1.4487,33.079,37.34,6.2548,1.1593,0.3548,3.6721,10.992,0.57512,,,2188.9
2451239,3/1/1999,Mon,8.2721,1.4629,33.006,37.271,6.2235,1.1582,0.35671,3.7074,11.005,0.57533,,,2212.5
2451240,3/2/1999,Tue,8.2385,1.4583,33.079,37.549,6.2219,1.1626,0.35601,3.6955,10.981,0.57597,,,2191
2451241,3/3/1999,Wed,8.2585,1.4605,33.102,37.611,6.2225,1.1649,0.35746,3.6742,11.059,0.57601,,,2194.8
2451242,3/4/1999,Thu,8.2722,1.4694,33.175,37.804,6.2236,1.1691,0.35922,3.677,11.067,0.57606,,,2199.4
2451243,3/5/1999,Fri,8.239,1.4689,33.263,37.526,6.224,1.1711,0.3593,3.6673,11.038,0.57629,,,2192.3
2451246,3/8/1999,Mon,8.2096,1.4617,33.147,37.172,6.2238,1.1659,0.35784,3.6706,11.049,0.57668,,,2111
2451247,3/9/1999,Tue,8.1906,1.4679,33.171,37.427,6.2219,1.1671,0.35873,3.6669,11.038,0.57677,,,2184.9
2451248,3/10/1999,Wed,8.1059,1.4549,33.099,37.415,6.2225,1.1624,0.35865,3.6766,11.097,0.57745,,,2140.1
