Jul.Day,YYYY/MM/DD,Wdy,PAB/USD,PEN/USD,PHP/USD,XPT/USD,PLN/USD,PTE/USD,RON/USD,RUB/USD,SAR/USD,RSD/USD,XAG/USD,SGD/USD,SKK/USD,SIT/USD,ZAR/USD,KRW/USD,ESP/USD,XDR/USD,LKR/USD,SDD/USD
2451183,1/4/1999,Mon,1,3.1613,38.553,0.0027446,3.5046,168.84,0.99627,20.897,3.7555,,0.2024,1.6588,36.607,,5.8817,1185.9,140.13,0.70591,68.413,213.1524
2451184,1/5/1999,Tue,1,3.1698,37.519,0.0028047,3.4495,170.46,0.99745,20.982,3.7514,,0.19853,1.6686,36.459,,5.7835,1163.8,141.47,0.70691,68.341,213.4046
2451185,1/6/1999,Wed,1,3.1796,38.197,0.0027951,3.4115,172.28,0.99699,22.613,3.7485,,0.1942,1.6757,36.442,,5.6821,1157.3,142.98,0.7109,68.401,213.3057
2451186,1/7/1999,Thu,1,3.1868,38.196,0.0028062,3.4108,171.72,0.99679,22.609,3.7518,,0.19093,1.6705,36.435,,5.8642,1149.7,142.52,0.70934,68.5,213.2636
2451187,1/8/1999,Fri,1,3.193,38.056,0.0027918,3.4573,173.49,0.99865,22.751,3.7584,,0.19204,1.6776,36.803,,5.79,1172.3,143.98,0.7118,68.453,213.6624
2451190,1/11/1999,Mon,1,3.195,37.626,0.0027783,3.4705,173.81,1.12672,22.204,3.7553,,0.18752,1.6731,36.727,,5.9354,1172.7,144.25,0.70938,68.539,213.2227
2451191,1/12/1999,Tue,1,3.2002,37.893,0.0028214,3.5207,173.51,1.12675,23.305,3.7391,,0.18865,1.678,36.728,,6.014,1175.2,144,0.71296,68.649,213.2273
2451192,1/13/1999,Wed,1,3.2362,38.802,0.0028462,3.5344,171.38,1.13115,23.095,3.7678,,0.19347,1.6889,36.872,,6.1324,1173.3,142.23,0.71089,68.648,214.0595
2451193,1/14/1999,Thu,1,3.2734,38.465,0.0028424,3.5719,171.55,1.12704,22.461,3.7394,,0.19635,1.6824,36.738,,6.1878,1186.2,142.37,0.71068,68.534,213.2833
2451194,1/15/1999,Fri,1,3.2827,38.704,0.0028581,3.5428,172.95,1.12746,22.369,3.7606,,0.19525,1.6801,36.752,,6.1087,1183.9,143.54,0.71346,68.385,213.3631
2451197,1/18/1999,Mon,1,3.2645,38.254,0.0028423,3.5517,172.78,1.12867,22.744,3.7557,,0.19569,1.6829,36.809,,6.2706,1181,143.4,0.71331,68.583,213.5915
2451198,1/19/1999,Tue,1,3.2404,38.341,0.0028549,3.5069,172.77,1.12947,23.361,3.7299,,0.19618,1.6815,36.891,,6.0419,1175,143.39,0.71258,68.539,213.7407
2451199,1/20/1999,Wed,1,3.2424,38.345,0.0028363,3.5219,173.22,1.12556,22.981,3.7538,,0.19325,1.6782,36.885,,5.9957,1166.5,143.76,0.71305,68.572,213.0032
2451200,1/21/1999,Thu,1,3.269,38.154,0.0028216,3.5207,173.16,1.12518,23.073,3.7669,,0.19266,1.6717,36.904,,6.0649,1172.1,143.71,0.71332,68.626,212.93
2451201,1/22/1999,Fri,1,3.2789,38.65,0.0028665,3.5477,173.08,1.12582,22.886,3.7488,,0.1954,1.6795,36.99,,6.035,1179.3,143.64,0.71382,68.679,213.0507
2451204,1/25/1999,Mon,1,3.2895,38.734,0.0028404,3.5925,173.3,1.12627,22.295,3.7356,,0.1931,1.6873,37.129,,6.0459,1179.5,143.83,0.71318,68.685,213.1356
2451205,1/26/1999,Tue,1,3.3223,38.45,0.002856,3.5901,173.21,1.12672,23.035,3.7516,,0.19577,1.6821,37.105,,6.0377,1174.9,143.75,0.71317,68.668,213.2205
2451206,1/27/1999,Wed,1,3.3269,38.655,0.0028701,3.5901,174.66,1.12674,23.035,3.7518,,0.19535,1.6878,37.2,,6.0059,1175.2,144.96,0.71716,68.717,213.2264
