Jul.Day,YYYY/MM/DD,Wdy,INR/USD,IDR/USD,IEP/USD,ILS/USD,ITL/USD,JMD/USD,JPY/USD,JOD/USD,KWD/USD,LBP/USD,LUF/USD,MYR/USD,MTL/USD,MXN/USD,MAD/USD,NZD/USD,NOK/USD,XCB/USD,XCT/USD,PKR/USD
2451183,1/4/1999,Mon,42.551,7849,0.66328,4.1285,1630.7,37.045,112.15,0.70859,0.30154,1501.8,33.974,3.7996,0.37555,9.8281,9.2224,1.8737,7.4966,0.091408,0.080515,51.15
2451184,1/5/1999,Tue,42.539,7708.1,0.66962,4.0946,1646.3,37.089,111.1,0.70859,0.30144,1508.1,34.299,3.7998,0.37555,9.7995,9.2395,1.8622,7.4505,0.097087,0.083056,50.935
2451185,1/6/1999,Wed,42.496,7904.3,0.67679,4.0687,1663.9,37.072,112.71,0.70813,0.30144,1507.4,34.666,3.7995,0.3753,9.7754,9.2656,1.857,7.4399,0.093721,0.077882,51.024
2451186,1/7/1999,Thu,42.478,7803.1,0.67458,4.0662,1658.5,37.065,111.65,0.70828,,1507.1,34.553,3.7994,,9.8233,9.2692,1.8502,7.4253,0.090253,0.076982,50.766
2451187,1/8/1999,Fri,42.502,7828.1,0.68152,4.0828,1675.6,37.134,111.53,0.7096,,1509.9,34.908,3.7989,,9.8025,9.3311,1.8502,7.3974,0.08547,0.07657,49.803
2451190,1/11/1999,Mon,42.501,7801.5,0.68278,4.0555,1678.6,37.207,108.88,0.70855,0.30152,1506.8,34.973,3.7996,0.37743,9.9524,9.3703,1.8279,7.4141,0.08285,0.07446,51.044
2451191,1/12/1999,Tue,42.504,7901.8,0.68159,4.0551,1675.7,37.808,112.1,0.70635,0.30058,1503.3,34.912,3.7998,0.38184,10.0862,9.3546,1.8268,7.4257,0.08489,0.077459,50.397
2451192,1/13/1999,Wed,42.478,8529.6,0.67324,4.0965,1655.2,37.956,113.41,0.71092,0.30293,1508.3,34.484,3.7992,0.38431,10.5507,9.2598,1.8459,7.4612,0.091743,0.081103,50.909
2451193,1/14/1999,Thu,42.496,8479.1,0.6739,4.0719,1656.8,37.818,113.26,0.70638,0.3006,1506.2,34.518,3.7997,0.38185,10.5667,9.2779,1.8529,7.4695,0.09009,0.081766,51.001
2451194,1/15/1999,Fri,42.444,8261.4,0.67941,4.0899,1670.4,37.832,114.14,0.71085,0.30207,1506.8,34.8,3.7992,0.38373,10.2853,9.3195,1.8495,7.4848,0.091158,0.0819,50.761
2451197,1/18/1999,Mon,42.495,8366.1,0.67874,4.0514,1668.7,37.873,114.39,0.70901,0.30232,1509.4,34.766,3.7997,0.38328,10.2301,9.3256,1.8604,7.4351,0.092507,,50.76
