Jul.Day,YYYY/MM/DD,Wdy,CZK/USD,DKK/USD,NLG/USD,XCD/USD,EGP/USD,EEK/USD,EUR/USD,FJD/USD,FIM/USD,FRF/USD,XAF/USD,XPF/USD,DEM/USD,GHS/USD,XAU/USD,GRD/USD,HNL/USD,HKD/USD,HUF/USD,ISK/USD
2451183,1/4/1999,Mon,29.788,6.3096,1.8559,2.7,3.4114,,0.84219,1.9832,5.0074,5.5244,555.22,100.95,1.6472,0.234815,0.0034827,277.01,13.964,7.7477,212.96,69.001
2451184,1/5/1999,Tue,29.608,6.3329,1.8737,2.6996,3.4212,,0.85025,1.9642,5.0553,5.5772,557.76,101.39,1.6629,0.234916,0.003493,275.39,13.995,7.7467,212.51,69.149
2451185,1/6/1999,Wed,29.994,6.3726,1.8937,2.6999,3.4215,,0.85935,1.9607,5.1094,5.6369,563.76,102.53,1.6807,0.234883,0.0034789,276.61,13.997,7.7451,213.49,69.503
2451186,1/7/1999,Thu,29.836,6.3816,1.8876,2.6996,3.4219,,0.85654,1.957,5.0928,5.6186,561.8,102.15,1.6753,0.234752,0.0034516,277.8,14.011,7.7449,214.29,69.508
2451187,1/8/1999,Fri,30.255,6.4432,1.907,2.6998,3.4202,,0.86535,1.9434,5.1451,5.6763,567.7,103.24,1.6925,0.234652,0.0034403,279.09,14.014,7.7457,214.7,69.682
2451190,1/11/1999,Mon,30.53,6.4516,1.9105,2.7,3.422,,0.86695,1.9508,5.1546,5.6868,568.66,103.42,1.6956,0.235281,0.0034167,280.72,14.034,7.7459,216.23,69.778
2451191,1/12/1999,Tue,30.691,6.4483,1.9072,2.6998,3.4254,,0.86544,1.9362,5.1457,5.6769,567.68,103.21,1.6927,0.235398,0.0034598,280.67,14.023,7.7459,216.09,69.921
2451192,1/13/1999,Wed,30.869,6.3647,1.8838,2.6996,3.4276,,0.85484,1.947,5.0827,5.6074,560.82,101.99,1.6719,0.2352,0.0035024,277.31,14.026,7.7447,218,69.114
2451193,1/14/1999,Thu,30.636,6.3655,1.8857,2.7,3.4166,,0.85567,1.9562,5.0876,5.6128,561.31,102.07,1.6735,0.235231,0.0035054,277.8,14.015,7.7457,216.18,69.311
2451194,1/15/1999,Fri,30.733,6.4192,1.9011,2.6999,3.4153,,0.86267,1.9562,5.1292,5.6588,565.86,102.85,1.6872,0.236229,0.0034908,279.01,14.022,7.7466,218.2,69.504
2451197,1/18/1999,Mon,30.674,6.4099,1.8992,2.6997,3.4216,,0.86183,1.952,5.1242,5.6532,565.4,102.78,1.6856,0.235292,0.0034923,278.53,14.018,7.7477,216.36,69.487
2451198,1/19/1999,Tue,30.856,6.4116,1.8991,2.7,3.416,,0.86176,1.9528,5.1238,5.6528,565.34,102.81,1.6855,0.236812,0.0035012,278.96,14.022,7.7458,216.09,69.442
2451199,1/20/1999,Wed,30.994,6.4259,1.904,2.6996,3.407,,0.86401,1.9504,5.1372,5.6675,566.75,103.07,1.6899,0.237118,0.003493,279.17,14.017,7.7471,216.02,69.543
2451200,1/21/1999,Thu,31.164,6.4173,1.9033,2.6997,3.4175,,0.8637,1.9475,5.1353,5.6655,566.53,103.01,1.6892,0.235334,0.0034677,278.32,14.024,7.7441,215.61,69.349
2451201,1/22/1999,Fri,31.24,6.4178,1.9025,2.6998,3.4129,,0.86332,1.9422,5.1331,5.663,566.34,102.97,1.6885,0.235318,0.0034851,278.24,13.95,7.7518,215.86,69.338
2451204,1/25/1999,Mon,31.359,6.431,1.905,2.6996,3.414,,0.86444,1.957,5.1397,5.6704,567.02,103.1,1.6907,0.236271,0.0034732,277.99,13.946,7.7508,216.33,69.314
2451205,1/26/1999,Tue,31.621,6.4229,1.9039,2.6999,3.421,,0.86395,1.9589,5.1368,5.6672,566.64,103,1.6897,0.235341,0.0035024,278.19,13.948,7.7527,216.49,69.167
2451206,1/27/1999,Wed,31.746,6.4766,1.9199,2.6996,3.4195,,0.87121,1.9599,5.18,5.7148,571.48,103.87,1.7039,0.235403,0.0035263,279.54,13.951,7.7468,217.12,69.407
2451207,1/28/1999,Thu,31.935,6.5269,1.9342,2.6999,3.4111,,0.87772,1.967,5.2187,5.7574,575.85,104.66,1.7167,0.235131,0.0035417,281.76,13.949,7.7501,218.86,69.872
2451208,1/29/1999,Fri,32.256,6.5397,1.9375,2.7,3.404,,0.87921,1.9684,5.2275,5.7672,576.66,104.83,1.7196,0.235163,0.0034895,282.5,13.944,7.7462,218.32,70.112
2451211,2/1/1999,Mon,32.929,6.5783,1.9497,2.6998,3.4208,,0.88474,1.9635,5.2605,5.8035,580.38,105.56,1.7304,0.235319,0.003468,283.75,13.98,7.7513,219.11,70.289
2451212,2/2/1999,Tue,33.006,6.5581,1.9454,2.6996,3.4207,,0.88279,1.9561,5.2488,5.7907,578.98,105.24,1.7266,0.23741,0.0034557,283.15,13.99,7.7514,219.68,70.176
2451213,2/3/1999,Wed,32.759,6.5544,1.9436,2.6996,3.4068,,0.88199,1.9475,5.2441,5.7855,578.52,105.17,1.725,0.235365,0.0034825,282.83,13.987,7.7531,219.64,70.13
2451214,2/4/1999,Thu,33.027,6.5751,1.9488,2.6997,3.4166,,0.88434,1.9425,5.258,5.8009,580.11,105.45,1.7296,0.235149,0.0034803,285.07,13.981,7.7529,220.62,70.334
2451215,2/5/1999,Fri,33.145,6.589,1.9531,2.6997,3.4149,,0.88628,1.9335,5.2696,5.8136,581.4,105.74,1.7334,0.235412,0.0034511,284.8,13.97,7.753,220.58,70.279
2451218,2/8/1999,Mon,33.793,6.5823,1.9508,2.6998,3.4245,,0.88521,1.935,5.2632,5.8066,580.64,105.58,1.7313,0.236503,0.0034562,287.01,13.968,7.752,221.04,70.569
2451219,2/9/1999,Tue,33.795,6.578,1.9496,2.6997,3.4262,,0.8847,1.9295,5.2602,5.8033,580.33,105.53,1.7303,0.235149,0.0034844,285.12,13.968,7.7529,220.83,70.334
2451220,2/10/1999,Wed,33.486,6.5562,1.9451,2.6997,3.4208,,0.88263,1.9368,5.2479,5.7897,578.88,105.25,1.7263,0.236314,0.0034967,283.94,13.971,7.7464,221.78,70.382
2451221,2/11/1999,Thu,33.496,6.5798,1.9497,2.6999,3.4002,,0.88473,1.9368,5.2604,5.8034,580.28,105.53,1.7304,0.236349,0.0034709,284.81,13.968,7.7471,220.57,70.469
2451222,2/12/1999,Fri,33.544,6.5876,1.9532,2.6997,3.4184,,0.88631,1.9368,5.2698,5.8138,581.26,105.67,1.7335,0.235348,0.0034599,285.46,13.971,7.7512,221.34,70.615
2451225,2/15/1999,Mon,34.007,6.6127,1.9593,2.6998,3.4104,,0.88911,1.9387,5.2864,5.8322,583.29,106.02,1.739,0.235244,0.00346,286.55,13.961,7.7519,222.39,70.83
2451226,2/16/1999,Tue,34.1,6.6438,1.9692,2.6998,3.4279,,0.89357,1.9388,5.3129,5.8614,586.2,106.57,1.7477,0.238774,0.0035242,288.2,13.962,7.7454,222.85,71.269
2451227,2/17/1999,Wed,33.872,6.6223,1.9621,2.7,3.4231,,0.89037,1.9388,5.2939,5.8405,584.07,106.18,1.7414,0.236483,0.0035232,286.34,13.96,7.7443,223.06,70.956
2451228,2/18/1999,Thu,33.69,6.6236,1.9635,2.6997,3.4185,,0.89101,1.9628,5.2977,5.8446,584.51,106.29,1.7427,0.236408,0.0034978,286.18,13.962,7.7448,222.77,71.182
2451229,2/19/1999,Fri,34.173,6.71,1.9903,2.6998,3.4234,,0.90316,1.9677,5.3699,5.9243,592.33,107.68,1.7664,0.239214,0.0034771,289.1,14.007,7.7458,226.73,71.546
2451232,2/22/1999,Mon,34.228,6.7332,1.9967,2.6999,3.3631,,0.90605,1.963,5.3871,5.9433,594.44,108.07,1.7721,0.239871,0.0034897,291.43,14.015,7.7474,227.17,72.344
2451233,2/23/1999,Tue,34.421,6.7567,2.0044,2.7,3.3396,,0.90957,1.9695,5.408,5.9664,596.73,108.53,1.779,0.239839,0.0034848,295.07,14.013,7.7464,226.87,72.369
2451234,2/24/1999,Wed,34.663,6.781,2.008,2.6997,3.3465,,0.91117,1.9693,5.4176,5.9769,597.77,108.67,1.7821,0.237121,0.0034794,292.64,14.006,7.7447,228.71,72.083
2451235,2/25/1999,Thu,34.393,6.7159,1.9908,2.6998,3.4335,,0.9034,1.9864,5.3714,5.9259,592.56,107.7,1.7669,0.239762,0.0034869,291.97,14.007,7.7454,229.34,72.147
2451236,2/26/1999,Fri,34.292,6.7657,2.0046,2.7,3.4063,,0.90966,1.9913,5.4086,5.967,596.75,108.52,1.7791,0.240415,0.0034779,293.1,13.944,7.7462,229.86,72.193
2451239,3/1/1999,Mon,34.546,6.8291,2.0234,2.6997,3.3726,,0.91818,1.9912,5.4593,6.0229,602.17,109.48,1.7958,0.236476,0.0035192,293.77,13.933,7.7462,232.05,72.21
2451240,3/2/1999,Tue,34.374,6.8039,2.0164,2.6998,3.4209,,0.915,1.9914,5.4403,6.002,600.32,109.12,1.7896,0.2375,0.0034863,294.97,13.945,7.7472,231.09,72.415
2451241,3/3/1999,Wed,34.537,6.8261,2.0242,2.6998,3.3457,,0.91855,1.9995,5.4615,6.0253,602.6,109.54,1.7965,0.237481,0.0034875,294.79,13.945,7.7473,233.12,72.37
2451242,3/4/1999,Thu,34.604,6.8619,2.0358,2.6998,3.3527,,0.92381,1.9979,5.4927,6.0598,606.04,110.22,1.8068,0.237601,0.0034814,297.12,13.943,7.751,235.58,72.777
2451243,3/5/1999,Fri,34.485,6.854,2.0323,2.6999,3.4356,,0.92224,1.996,5.4834,6.0495,605.03,109.99,1.8037,0.241529,0.0034703,297.88,13.941,7.7506,232.69,72.818
2451246,3/8/1999,Mon,34.54,6.8204,2.0216,2.7,3.333,,0.91737,1.9959,5.4545,6.0176,601.63,109.42,1.7942,0.241707,0.0034592,295.42,14.032,7.744,229.88,72.408
2451247,3/9/1999,Tue,34.951,6.8298,2.0268,2.6996,3.3307,,0.91972,1.9881,5.4684,6.033,603.38,109.68,1.7988,0.238507,0.0034139,295.4,13.629,7.7472,229.86,72.302
2451248,3/10/1999,Wed,34.524,6.7789,2.0106,2.6996,3.3873,,0.91235,1.9824,5.4246,5.9846,598.55,108.85,1.7844,0.238483,0.0034207,293.51,13.631,7.7473,230.23,71.95
2451249,3/11/1999,Thu,34.84,6.806,2.0186,2.6999,3.3862,,0.91601,1.9768,5.4464,6.0086,600.83,109.22,1.7916,0.238637,0.0034024,295.69,13.63,7.752,232.58,71.986
2451250,3/12/1999,Fri,34.609,6.7936,2.0128,2.6999,3.3892,,0.91339,1.9767,5.4307,5.9914,599.21,108.92,1.7864,0.239215,0.0034338,294.4,13.63,7.7468,231.5,71.945
2451253,3/15/1999,Mon,34.7,6.804,2.0162,2.6997,3.389,,0.91489,1.9781,5.4397,6.0013,600.2,109.11,1.7894,0.240551,0.003473,293.52,13.626,7.7538,231.55,71.849
2451254,3/16/1999,Tue,34.816,6.8085,2.0188,2.6996,3.335,,0.91609,1.9856,5.4468,6.0092,600.83,109.26,1.7917,0.239953,0.0035303,294.56,13.635,7.751,232.04,71.997
2451255,3/17/1999,Wed,34.473,6.7392,2.0002,2.7,3.386,,0.90766,1.986,5.3967,5.9539,595.34,108.23,1.7752,0.237394,0.0035248,292.92,13.948,7.7519,230.3,71.846
2451256,3/18/1999,Thu,34.359,6.7602,2.0047,2.6998,3.401,,0.90967,1.9858,5.4087,5.9671,596.66,108.55,1.7792,0.242763,0.0035393,292.25,13.955,7.7536,230.58,71.583
2451257,3/19/1999,Fri,34.747,6.8073,2.0171,2.6996,3.3757,,0.91531,1.9841,5.4422,6.0041,600.36,109.17,1.7902,0.240524,0.0035085,294.4,14.057,7.7509,230.87,71.883
2451260,3/22/1999,Mon,35.185,6.8128,2.0185,2.6997,3.399,,0.91594,1.9829,5.4459,6.0082,600.88,109.28,1.7914,0.24112,0.0035309,295.66,13.993,7.7521,232.81,72.036
2451261,3/23/1999,Tue,35.139,6.8035,2.0183,2.7,3.3397,,0.91585,1.9755,5.4454,6.0076,600.84,109.23,1.7913,0.242171,0.0035429,296.46,13.986,7.7524,232.41,72.106
2451262,3/24/1999,Wed,35.281,6.8081,2.0173,2.7,3.4355,,0.91539,1.9685,5.4427,6.0046,600.36,109.14,1.7904,0.244934,0.0035226,296.63,13.99,7.7441,234.31,71.888
2451263,3/25/1999,Thu,,6.8397,2.0269,2.6997,,,0.91979,1.9705,5.4688,6.0334,603.36,109.67,1.7989,0.243974,,297.87,13.996,7.7526,,72.051
2451264,3/26/1999,Fri,35.871,6.9168,2.051,2.6996,3.4336,,0.93069,1.9724,5.5336,6.1049,610.49,111.03,1.8203,0.241372,0.0035763,301.65,13.987,7.7531,235.37,72.69
2451267,3/29/1999,Mon,35.951,6.9385,2.0561,2.6996,3.3868,,0.93301,1.984,5.5474,6.1202,611.89,111.22,1.8248,0.241629,0.00357,304.22,14.071,7.753,237.1,72.686
2451268,3/30/1999,Tue,35.765,6.9254,2.053,2.6999,,,0.93163,1.9901,5.5392,6.1111,611.11,111.13,1.8221,0.243951,0.0035841,302.14,14.057,7.7445,236.99,72.577
