Jul.Day,YYYY/MM/DD,Wdy,DZD/USD,ARS/USD,AUD/USD,ATS/USD,BSD/USD,BHD/USD,BBD/USD,BEF/USD,BMD/USD,BRL/USD,GBP/USD,BGN/USD,CAD/USD,CLP/USD,CNY/USD,COP/USD,HRK/USD,CYP/USD
2451183,1/4/1999,Mon,60.092,0.9998,1.6168,11.589,1,0.37705,2.011,33.974,0.99987,1.209,0.60264,1.6836,1.5263,471.66,8.2771,1548,,0.49263
2451184,1/5/1999,Tue,60.165,1,1.6087,11.7,1,0.37705,2.0134,34.299,1.00105,1.2096,0.60364,1.6527,1.5199,470.56,8.2783,1529.1,,0.49152
2451185,1/6/1999,Wed,60.436,0.9998,1.5911,11.825,1,0.3768,2.0125,34.666,1.00059,1.2107,0.60427,1.652,1.5103,468.89,8.2802,1571.6,,0.49479
2451186,1/7/1999,Thu,60.735,0.9998,1.5773,11.786,1,,2.0121,34.553,1.00039,1.2107,0.60635,1.6516,1.5118,471.7,8.2793,1542.7,,0.4983
2451187,1/8/1999,Fri,60.848,0.99941,1.5799,11.907,1,0.37708,2.0158,34.908,1.00226,1.211,0.60942,1.6748,1.5135,470.18,8.2795,1536.6,,0.49712
2451190,1/11/1999,Mon,61.212,0.9998,1.5606,11.929,1,0.37703,2.0117,34.973,1.0002,1.212,0.61055,1.6713,1.5058,471.45,8.2782,1531.8,,0.5011
2451191,1/12/1999,Tue,61.697,0.9998,1.5615,11.909,1,0.37586,2.0117,34.912,1.00022,1.2122,0.61322,1.6934,1.5089,473.01,8.277,1546,,0.50521
2451192,1/13/1999,Wed,61.46,0.9998,1.5841,11.763,1,0.37829,2.0196,34.484,1.00413,1.3175,0.60623,1.6679,1.5288,477.6,8.2772,1594.2,,0.49965
2451193,1/14/1999,Thu,61.237,0.9998,1.581,11.774,1,0.37587,2.0123,34.518,1.00048,1.3189,0.60499,1.6618,1.529,476.47,8.2783,1584.5,,0.49674
2451194,1/15/1999,Fri,61.276,0.99908,1.5749,11.871,1,0.37772,2.013,34.8,1.00086,1.4999,0.60574,1.6624,1.5284,477.62,8.2795,1602.1,,0.49813
2451197,1/18/1999,Mon,61.342,0.99902,1.5757,11.859,1,0.37717,2.0152,34.766,1.00193,1.4999,0.60496,1.6852,1.5294,476.89,8.276,1581.6,,0.49796
2451198,1/19/1999,Tue,61.579,0.9998,1.5661,11.858,1,0.37465,2.0166,34.763,1.00263,1.5702,0.60412,1.6864,1.5298,478.51,8.2781,1590.2,,0.50042
2451199,1/20/1999,Wed,61.818,0.9998,1.5629,11.889,1,0.3772,2.0096,34.854,0.99917,1.605,0.60705,1.6846,1.5223,478.26,8.2779,1582.4,,0.49808
2451200,1/21/1999,Thu,61.626,0.9998,1.5626,11.885,1,0.3786,2.0089,34.842,0.99883,1.69,0.60552,1.684,1.5132,478.41,8.2779,1592.8,,0.50101
2451201,1/22/1999,Fri,61.393,0.99961,1.5753,11.88,1,0.37675,2.0101,34.826,0.99939,1.7998,0.60415,1.681,1.5178,479.41,8.2759,1592.7,,0.4997
2451204,1/25/1999,Mon,60.718,0.9996,1.5842,11.895,1,0.37549,2.0109,34.871,0.99979,1.7851,0.60375,1.6817,1.5145,478.52,8.276,1594.2,,0.501
2451205,1/26/1999,Tue,61.512,0.9901,1.5861,11.888,1,0.37715,2.0117,34.852,1.00019,1.9001,0.60253,1.7353,1.5203,478.23,8.276,1591.9,,0.5021
2451206,1/27/1999,Wed,62.124,0.9998,1.5937,11.988,1,0.37717,2.0117,35.145,1.00021,1.89,0.60644,1.6924,1.5207,481.69,8.2782,1592.4,,0.50411
2451207,1/28/1999,Thu,62.473,0.9998,1.5977,12.078,1,0.37899,2.0133,35.407,1.00101,1.9397,0.60702,1.6937,1.526,485.21,8.28,1574.8,,0.50524
2451208,1/29/1999,Fri,61.889,0.99987,1.5877,12.098,1,0.3761,2.0037,35.467,0.99622,2.1047,0.6076,1.7035,1.5074,488.78,8.2779,1586.7,,0.50688
2451211,2/1/1999,Mon,62.515,0.9998,1.5785,12.174,1,0.37697,2.0108,35.691,0.99977,1.9798,0.60936,1.7096,1.5084,488.79,8.2788,1582.8,,0.50918
2451212,2/2/1999,Tue,62.885,0.9998,1.5628,12.147,1,0.37638,2.0117,35.612,1.00021,1.8051,0.6086,1.7104,1.5123,491.33,8.2775,1575.3,,0.51301
