Jul.Day,YYYY/MM/DD,Wdy,XAU/USD,XAG/USD,XPT/USD
2451183,1/4/1999,Mon,0.0034827,0.2024,0.0027446
2451184,1/5/1999,Tue,0.003493,0.19853,0.0028047
2451185,1/6/1999,Wed,0.0034789,0.1942,0.0027951
2451186,1/7/1999,Thu,0.0034516,0.19093,0.0028062
2451187,1/8/1999,Fri,0.0034403,0.19204,0.0027918
2451190,1/11/1999,Mon,0.0034167,0.18752,0.0027783
2451191,1/12/1999,Tue,0.0034598,0.18865,0.0028214
2451192,1/13/1999,Wed,0.0035024,0.19347,0.0028462
2451193,1/14/1999,Thu,0.0035054,0.19635,0.0028424
2451194,1/15/1999,Fri,0.0034908,0.19525,0.0028581
2451197,1/18/1999,Mon,0.0034923,0.19569,0.0028423
2451198,1/19/1999,Tue,0.0035012,0.19618,0.0028549
2451199,1/20/1999,Wed,0.003493,0.19325,0.0028363
2451200,1/21/1999,Thu,0.0034677,0.19266,0.0028216
2451201,1/22/1999,Fri,0.0034851,0.1954,0.0028665
2451204,1/25/1999,Mon,0.0034732,0.1931,0.0028404
2451205,1/26/1999,Tue,0.0035024,0.19577,0.002856
2451206,1/27/1999,Wed,0.0035263,0.19535,0.0028701
2451207,1/28/1999,Thu,0.0035417,0.19561,0.0029367
2451208,1/29/1999,Fri,0.0034895,0.18899,0.002896
2451211,2/1/1999,Mon,0.003468,0.18845,0.0028848
2451212,2/2/1999,Tue,0.0034557,0.18444,0.0028381
2451213,2/3/1999,Wed,0.0034825,0.18072,0.002838
2451214,2/4/1999,Thu,0.0034803,0.17923,0.0028532
2451215,2/5/1999,Fri,0.0034511,0.1776,0.0028129
2451218,2/8/1999,Mon,0.0034562,0.17887,0.0028354
2451219,2/9/1999,Tue,0.0034844,0.18078,0.0028216
2451220,2/10/1999,Wed,0.0034967,0.1824,0.0027984
2451221,2/11/1999,Thu,0.0034709,0.18058,0.0027816
2451222,2/12/1999,Fri,0.0034599,0.17704,0.0027218
2451225,2/15/1999,Mon,0.00346,0.17466,0.0027159
2451226,2/16/1999,Tue,0.0035242,0.18505,0.0027555
2451227,2/17/1999,Wed,0.0035232,0.1846,0.0027766
2451228,2/18/1999,Thu,0.0034978,0.18075,0.0026794
2451229,2/19/1999,Fri,0.0034771,0.17861,0.002666
2451232,2/22/1999,Mon,0.0034897,0.18048,0.0026809
2451233,2/23/1999,Tue,0.0034848,0.18173,0.0026093
2451234,2/24/1999,Wed,0.0034794,0.18184,0.0026026
2451235,2/25/1999,Thu,0.0034869,0.18261,0.0026486
2451236,2/26/1999,Fri,0.0034779,0.18079,0.0026299
2451239,3/1/1999,Mon,0.0035192,0.17915,0.0026459
2451240,3/2/1999,Tue,0.0034863,0.18797,0.0026639
2451241,3/3/1999,Wed,0.0034875,0.19058,0.0026987
2451242,3/4/1999,Thu,0.0034814,0.19026,0.0026989
2451243,3/5/1999,Fri,0.0034703,0.19191,0.0026618
2451246,3/8/1999,Mon,0.0034592,0.18987,0.002658
2451247,3/9/1999,Tue,0.0034139,0.19017,0.0026693
2451248,3/10/1999,Wed,0.0034207,0.18955,0.0027136
2451249,3/11/1999,Thu,0.0034024,0.18917,0.0027213
2451250,3/12/1999,Fri,0.0034338,0.18977,0.0027521
2451253,3/15/1999,Mon,0.003473,0.19531,0.0027653
2451254,3/16/1999,Tue,0.0035303,0.20055,0.0027505
2451255,3/17/1999,Wed,0.0035248,0.19802,0.0027244
2451256,3/18/1999,Thu,0.0035393,0.19879,0.0027301
2451257,3/19/1999,Fri,0.0035085,0.19693,0.0026843
2451260,3/22/1999,Mon,0.0035309,0.19689,0.0027025
2451261,3/23/1999,Tue,0.0035429,0.19803,0.0026823
2451262,3/24/1999,Wed,0.0035226,0.19657,0.0026927
2451264,3/26/1999,Fri,0.0035763,0.19695,0.0027292
2451267,3/29/1999,Mon,0.00357,0.19606,0.0027359
2451268,3/30/1999,Tue,0.0035841,,
2451269,3/31/1999,Wed,0.0035772,0.19886,0.0027748
2451270,4/1/1999,Thu,0.0035587,0.19908,0.0027844
2451274,4/5/1999,Mon,0.0035945,0.20298,0.002716
2451275,4/6/1999,Tue,0.0035741,0.20181,0.0028315
2451276,4/7/1999,Wed,0.0035783,0.20151,0.0028211
2451277,4/8/1999,Thu,0.0035645,0.20376,0.0028093
2451278,4/9/1999,Fri,0.0035593,0.2047,0.0027936
2451282,4/13/1999,Tue,0.0035293,0.20494,0.0027783
2451283,4/14/1999,Wed,0.0035312,0.20274,0.0028099
2451284,4/15/1999,Thu,0.0035429,0.20497,0.0027883
2451285,4/16/1999,Fri,0.0035195,0.19794,0.0027684
2451288,4/19/1999,Mon,0.0035067,0.19346,0.0027443
2451289,4/20/1999,Tue,0.0035256,0.19528,0.0027625
2451290,4/21/1999,Wed,0.0035349,0.19522,0.0027878
2451291,4/22/1999,Thu,0.0035275,0.19439,0.0028303
2451292,4/23/1999,Fri,0.0035315,0.1939,0.0028142
2451295,4/26/1999,Mon,0.00355,0.19627,0.0028311
2451296,4/27/1999,Tue,0.0035462,0.19435,0.0028254
2451297,4/28/1999,Wed,0.003536,0.1901,0.0028304
2451298,4/29/1999,Thu,0.0035315,0.18769,0.0028903
2451299,4/30/1999,Fri,0.0034967,0.18761,0.0028422
2451302,5/3/1999,Mon,0.0034973,,0.0028499
2451303,5/4/1999,Tue,0.0035113,0.18825,0.0028729
2451304,5/5/1999,Wed,0.0034889,0.18702,0.0028356
2451305,5/6/1999,Thu,0.0034734,0.18567,0.0028108
2451306,5/7/1999,Fri,0.0035691,0.18801,0.0028298
2451309,5/10/1999,Mon,0.0035959,0.18503,0.0028347
2451310,5/11/1999,Tue,0.0035888,0.18437,0.0028304
2451311,5/12/1999,Wed,0.0036238,0.18696,0.0028227
2451312,5/13/1999,Thu,0.0036057,0.18656,0.0028183
2451313,5/14/1999,Fri,0.0036368,0.18308,0.0028189
2451316,5/17/1999,Mon,0.0036228,0.18549,0.0028099
2451317,5/18/1999,Tue,0.0036439,0.18766,0.0028251
2451318,5/19/1999,Wed,0.0036678,0.18904,0.002823
2451319,5/20/1999,Thu,0.0036516,0.18774,0.0028164
2451320,5/21/1999,Fri,0.0036682,0.19136,0.0027966
2451325,5/26/1999,Wed,0.0037256,0.19854,0.0027971
2451326,5/27/1999,Thu,0.0037259,0.20203,0.0027461
2451327,5/28/1999,Fri,0.0037167,0.20386,0.0027487
2451330,5/31/1999,Mon,0.0037128,0.20367,0.0027605
2451331,6/1/1999,Tue,0.0037426,0.20076,0.0027651
2451332,6/2/1999,Wed,0.0037438,0.2002,0.002761
2451333,6/3/1999,Thu,0.0037692,0.20152,0.0027515
2451334,6/4/1999,Fri,0.0037842,0.20503,0.0027331
2451337,6/7/1999,Mon,0.0037791,0.202,0.0027753
2451338,6/8/1999,Tue,0.0038072,0.20191,0.0027691
2451339,6/9/1999,Wed,0.0038558,0.20203,0.0027286
2451340,6/10/1999,Thu,0.0038433,0.19565,0.0027243
2451341,6/11/1999,Fri,0.0038582,0.19711,0.0027436
2451344,6/14/1999,Mon,0.003852,0.19477,0.0027666
2451345,6/15/1999,Tue,0.0038479,0.19751,0.0027943
2451347,6/17/1999,Thu,0.0038813,0.1983,0.0028648
2451348,6/18/1999,Fri,0.0038694,0.20252,0.0028646
2451351,6/21/1999,Mon,0.0038814,0.20266,0.0028695
2451352,6/22/1999,Tue,0.0038611,0.19873,0.0029017
2451353,6/23/1999,Wed,0.0038765,0.19743,0.0028972
2451354,6/24/1999,Thu,0.0038366,0.19605,0.0028781
2451355,6/25/1999,Fri,0.0038232,0.19466,0.0028537
2451358,6/28/1999,Mon,0.0038407,0.19471,0.0028797
2451359,6/29/1999,Tue,0.0038238,0.19439,0.0028763
2451360,6/30/1999,Wed,0.0038154,0.1907,0.0028556
2451365,7/5/1999,Mon,0.0038311,0.19071,0.0029035
2451367,7/7/1999,Wed,0.003894,0.19216,0.0028837
2451369,7/9/1999,Fri,0.0038828,0.19116,0.0028375
2451372,7/12/1999,Mon,0.0039228,0.19178,0.0028541
2451373,7/13/1999,Tue,0.0039382,0.19659,0.0028798
2451374,7/14/1999,Wed,0.0039238,0.19573,0.0028719
2451375,7/15/1999,Thu,0.00396,0.19914,0.0028872
2451376,7/16/1999,Fri,0.0039305,0.1977,0.0028729
2451379,7/19/1999,Mon,0.0039362,0.19781,0.0028644
2451380,7/20/1999,Tue,0.0039598,0.1984,0.0028543
2451381,7/21/1999,Wed,0.0039502,0.19833,0.0028357
2451382,7/22/1999,Thu,0.0039413,0.19662,0.0028436
2451383,7/23/1999,Fri,0.003923,0.19488,0.0028381
2451386,7/26/1999,Mon,0.0039361,0.19428,0.0028404
2451387,7/27/1999,Tue,0.0039351,0.19392,0.0028921
2451388,7/28/1999,Wed,0.0039357,0.19399,0.0029072
2451389,7/29/1999,Thu,0.0039046,0.1849,0.0028913
2451390,7/30/1999,Fri,0.0039241,0.18483,0.0029101
2451394,8/3/1999,Tue,0.0039006,0.18375,0.0028482
2451395,8/4/1999,Wed,0.0039215,0.18341,0.0028435
2451396,8/5/1999,Thu,0.003919,0.18379,0.0028474
2451397,8/6/1999,Fri,0.0039212,0.18704,0.0028677
2451400,8/9/1999,Mon,0.0038958,0.18762,0.0028431
2451401,8/10/1999,Tue,0.0038919,0.18909,0.0028645
2451402,8/11/1999,Wed,0.0038789,0.18738,0.0028535
2451403,8/12/1999,Thu,0.003847,0.18577,0.00284
2451404,8/13/1999,Fri,0.003835,0.18848,0.0028568
2451407,8/16/1999,Mon,0.0038722,0.19184,0.0029124
2451408,8/17/1999,Tue,0.0038345,0.19121,0.0028854
2451409,8/18/1999,Wed,0.0038278,0.19076,0.0028434
