Date,Bitcoin,Litecoin,Ripple,Monero,Ethereum,Neo,IOTA,,,
20-Feb-18,11403.7,232.85,1.09,304.4,895.37,128.36,1.91,,,
19-Feb-18,11225.3,223.06,1.14,316.49,943.87,137.47,2.09,,,
18-Feb-18,10551.8,215.74,1.12,300.12,923.92,127.38,1.98,,,
17-Feb-18,11112.7,229.47,1.2,325.67,974.12,136.75,2.2,,,
16-Feb-18,10233.9,230.12,1.14,296.48,944.21,128.85,2.1,,,
15-Feb-18,10166.4,225.43,1.15,303.25,936.98,123.29,2.13,,,
14-Feb-18,9494.63,213.36,1.14,276.66,923.56,122.52,2.03,,,
13-Feb-18,8598.31,159.55,1.03,234.69,845.26,111.17,1.81,,,
12-Feb-18,8926.57,161.57,1.08,247.57,868.71,113.25,1.87,,,
11-Feb-18,8129.97,148.99,1,229.49,814.66,103.4,1.7,,,
10-Feb-18,8621.9,155.59,1.07,250.03,860.41,110.63,1.86,,,
9-Feb-18,8736.98,163.95,0.954428,260.43,883.87,117.57,1.96,,,
8-Feb-18,8265.59,149.47,0.805263,247.22,817.81,112.43,1.78,,,
7-Feb-18,7621.3,138.2,0.723895,207.28,757.07,102.5,1.6,,,
6-Feb-18,7754,142.99,0.776393,212.29,793.12,105.95,1.62,,,
5-Feb-18,6955.27,125.33,0.691799,179.49,697.95,82.37,1.45,,,
4-Feb-18,8277.01,148.03,0.815703,221.05,834.68,107.45,1.74,,,
3-Feb-18,9174.91,160.25,0.924043,251.59,964.02,122.97,1.99,,,
2-Feb-18,8830.75,131.38,0.884784,235.63,915.78,120.13,1.81,,,
1-Feb-18,9170.54,142.3,0.96253,240.97,1036.79,126,1.91,,,
31-Jan-18,10221.1,163.35,1.16,272.89,1118.31,145.76,2.31,,,
30-Jan-18,10106.3,165.28,1.14,274.02,1071.13,146.28,2.22,,,
29-Jan-18,11296.4,181.66,1.32,316.63,1182.36,168.14,2.58,,,
28-Jan-18,11786.3,193.87,1.4,332.17,1246.01,152.16,2.52,,,
27-Jan-18,11440.7,180.89,1.22,321.36,1107.07,140.2,2.45,,,
26-Jan-18,11171.4,176.73,1.22,323.69,1055.17,137.89,2.37,,,
25-Jan-18,11259.4,180.27,1.31,317.1,1056.03,138,2.37,,,
24-Jan-18,11359.4,179.99,1.36,317.4,1058.78,136.41,2.43,,,
23-Jan-18,10868.4,177.81,1.34,308.46,986.23,121.6,2.5,,,
22-Jan-18,10931.4,180.01,1.36,315.9,1003.26,123.66,2.47,,,
21-Jan-18,11600.1,190.42,1.38,345.08,1049.58,131.09,2.77,,,
20-Jan-18,12899.2,211.02,1.58,383.79,1155.15,149.94,3,,,
19-Jan-18,11607.4,192.96,1.55,364.62,1039.1,139.5,2.7,,,
18-Jan-18,11474.9,192.84,1.6,316.47,1036.28,142.66,2.75,,,
17-Jan-18,11188.6,186.52,1.31,319.19,1014.25,141.37,2.72,,,
