,Jul.Day_x,YYYY/MM/DD,Wdy_x,SEK/USD,CHF/USD,TWD/USD,THB/USD,TTD/USD,TND/USD,TRY/USD,AED/USD,UYU/USD,VEF/USD,VND/USD,ZMW/USD,ZMK/USD,Jul.Day_y,Wdy_y,PAB/USD,PEN/USD,PHP/USD,XPT/USD_x,PLN/USD,PTE/USD,RON/USD,RUB/USD,SAR/USD,RSD/USD,XAG/USD_x,SGD/USD,SKK/USD,SIT/USD,ZAR/USD,KRW/USD,ESP/USD,XDR/USD,LKR/USD,SDD/USD,Jul.Day_x,Wdy_x,INR/USD,IDR/USD,IEP/USD,ILS/USD,ITL/USD,JMD/USD,JPY/USD,JOD/USD,KWD/USD,LBP/USD,LUF/USD,MYR/USD,MTL/USD,MXN/USD,MAD/USD,NZD/USD,NOK/USD,XCB/USD,XCT/USD,PKR/USD,Jul.Day_y,Wdy_y,CZK/USD,DKK/USD,NLG/USD,XCD/USD,EGP/USD,EEK/USD,EUR/USD,FJD/USD,FIM/USD,FRF/USD,XAF/USD,XPF/USD,DEM/USD,GHS/USD,XAU/USD_x,GRD/USD,HNL/USD,HKD/USD,HUF/USD,ISK/USD,Jul.Day_x,Wdy_x,DZD/USD,ARS/USD,AUD/USD,ATS/USD,BSD/USD,BHD/USD,BBD/USD,BEF/USD,BMD/USD,BRL/USD,GBP/USD,BGN/USD,CAD/USD,CLP/USD,CNY/USD,COP/USD,HRK/USD,CYP/USD,Jul.Day_y,Wdy_y,XAU/USD_y,XAG/USD_y,XPT/USD_y
0,2451183,1/4/1999,Mon,8.0205,1.3663,32.153,36.203,6.2528,1.0948,0.31587,3.6710000000000003,10.690999999999999,0.56488,,,2193.3,2451183,Mon,1.0,3.1613,38.553000000000004,0.0027446,3.5046,168.84,0.9962700000000001,20.897,3.7555,,0.2024,1.6588,36.607,,5.8817,1185.9,140.13,0.70591,68.413,213.1524,2451183,Mon,42.551,7849.0,0.66328,4.1285,1630.7,37.045,112.15,0.7085899999999999,0.30154000000000003,1501.8,33.974000000000004,3.7996,0.37555,9.8281,9.2224,1.8737,7.4966,0.091408,0.080515,51.15,2451183,Mon,29.788,6.3096,1.8559,2.7,3.4114,,0.84219,1.9832,5.0074,5.5244,555.22,100.95,1.6472,0.234815,0.0034827,277.01,13.964,7.7477,212.96,69.001,2451183,Mon,60.092,0.9998,1.6168,11.589,1.0,0.37705,2.011,33.974000000000004,0.99987,1.209,0.60264,1.6836,1.5263,471.66,8.2771,1548.0,,0.49263,2451183.0,Mon,0.0034827,0.2024,0.0027446
1,2451184,1/5/1999,Tue,7.9701,1.3699,32.188,36.102,6.2547,1.0902,0.31634,3.673,10.690999999999999,0.56565,,,2195.9,2451184,Tue,1.0,3.1698,37.519,0.0028047,3.4495,170.46,0.99745,20.982,3.7514,,0.19852999999999998,1.6686,36.459,,5.7835,1163.8,141.47,0.70691,68.34100000000001,213.4046,2451184,Tue,42.538999999999994,7708.1,0.66962,4.0946,1646.3,37.089,111.1,0.7085899999999999,0.30144,1508.1,34.299,3.7998,0.37555,9.7995,9.2395,1.8622,7.4505,0.097087,0.08305599999999999,50.935,2451184,Tue,29.608,6.3329,1.8737,2.6996,3.4212,,0.85025,1.9642,5.0553,5.5772,557.76,101.39,1.6629,0.23491599999999999,0.003493,275.39,13.995,7.7467,212.51,69.149,2451184,Tue,60.165,1.0,1.6087,11.7,1.0,0.37705,2.0134,34.299,1.00105,1.2096,0.60364,1.6527,1.5199,470.56,8.2783,1529.1,,0.49151999999999996,2451184.0,Tue,0.003493,0.19852999999999998,0.0028047
2,2451185,1/6/1999,Wed,7.9448,1.391,32.1,36.393,6.2538,1.0934,0.31743000000000005,3.6706,10.834000000000001,0.56566,,,2194.9,2451185,Wed,1.0,3.1796,38.196999999999996,0.0027951,3.4115,172.28,0.9969899999999999,22.613000000000003,3.7485,,0.1942,1.6757,36.442,,5.6821,1157.3,142.98,0.7109,68.40100000000001,213.3057,2451185,Wed,42.496,7904.3,0.67679,4.0687,1663.9,37.071999999999996,112.71,0.70813,0.30144,1507.4,34.666,3.7995,0.3753,9.7754,9.2656,1.857,7.4399,0.093721,0.077882,51.023999999999994,2451185,Wed,29.994,6.3726,1.8937,2.6999,3.4215,,0.85935,1.9607,5.1094,5.6369,563.76,102.53,1.6807,0.23488299999999998,0.0034789,276.61,13.997,7.7451,213.49,69.503,2451185,Wed,60.43600000000001,0.9998,1.5911,11.825,1.0,0.3768,2.0125,34.666,1.0005899999999999,1.2107,0.60427,1.652,1.5103,468.89,8.2802,1571.6,,0.49478999999999995,2451185.0,Wed,0.0034789,0.1942,0.0027951
3,2451186,1/7/1999,Thu,7.8945,1.3853,32.152,36.272,6.2549,1.0992,0.32005,,,0.56601,,,2194.4,2451186,Thu,1.0,3.1868,38.196,0.0028061999999999996,3.4108,171.72,0.99679,22.609,3.7518,,0.19093,1.6705,36.435,,5.8642,1149.7,142.52,0.70934,68.5,213.2636,2451186,Thu,42.478,7803.1,0.6745800000000001,4.0662,1658.5,37.065,111.65,0.70828,,1507.1,34.553000000000004,3.7994,,9.8233,9.2692,1.8502,7.4253,0.090253,0.07698200000000001,50.766000000000005,2451186,Thu,29.836,6.3816,1.8876,2.6996,3.4219,,0.85654,1.9569999999999999,5.0928,5.6186,561.8,102.15,1.6753,0.234752,0.0034516,277.8,14.011,7.7449,214.29,69.508,2451186,Thu,60.735,0.9998,1.5773,11.786,1.0,,2.0121,34.553000000000004,1.00039,1.2107,0.60635,1.6516,1.5118,471.7,8.2793,1542.7,,0.4983,2451186.0,Thu,0.0034516,0.19093,0.0028061999999999996
4,2451187,1/8/1999,Fri,7.9158,1.3969999999999998,32.175,36.452,6.2541,1.1008,0.31825,,,0.56685,,,2198.5,2451187,Fri,1.0,3.193,38.056,0.0027918,3.4573,173.49,0.99865,22.750999999999998,3.7584,,0.19204000000000002,1.6776,36.803000000000004,,5.79,1172.3,143.98,0.7118,68.453,213.6624,2451187,Fri,42.501999999999995,7828.1,0.68152,4.0828,1675.6,37.134,111.53,0.7096,,1509.9,34.908,3.7989,,9.8025,9.3311,1.8502,7.3974,0.08547,0.07657,49.803000000000004,2451187,Fri,30.255,6.4432,1.9069999999999998,2.6998,3.4202,,0.86535,1.9434,5.1451,5.6763,567.7,103.24,1.6925,0.234652,0.0034403,279.09,14.014000000000001,7.7457,214.7,69.682,2451187,Fri,60.848,0.99941,1.5799,11.907,1.0,0.37708,2.0158,34.908,1.00226,1.2109999999999999,0.60942,1.6748,1.5135,470.18,8.2795,1536.6,,0.49712,2451187.0,Fri,0.0034403,0.19204000000000002,0.0027918
5,2451190,1/11/1999,Mon,7.8509,1.3962,32.155,36.232,6.2533,1.1087,0.3224,3.6707,10.931,0.56694,,,2194.0,2451190,Mon,1.0,3.195,37.626,0.0027783,3.4705,173.81,1.1267200000000002,22.204,3.7553,,0.18752,1.6731,36.727,,5.9354,1172.7,144.25,0.70938,68.539,213.2227,2451190,Mon,42.501000000000005,7801.5,0.68278,4.0555,1678.6,37.207,108.88,0.70855,0.30151999999999995,1506.8,34.973,3.7996,0.37743000000000004,9.9524,9.3703,1.8279,7.4141,0.08285,0.07446,51.044,2451190,Mon,30.53,6.4516,1.9105,2.7,3.4219999999999997,,0.86695,1.9508,5.1546,5.6868,568.66,103.42,1.6956,0.235281,0.0034167,280.72,14.034,7.7459,216.23,69.778,2451190,Mon,61.211999999999996,0.9998,1.5606,11.929,1.0,0.37703000000000003,2.0117,34.973,1.0002,1.212,0.61055,1.6713,1.5058,471.45,8.2782,1531.8,,0.5011,2451190.0,Mon,0.0034167,0.18752,0.0027783
6,2451191,1/12/1999,Tue,7.7899,1.3886,32.207,36.429,6.2532,1.107,0.3214,3.6593,10.817,0.5668300000000001,,,2194.1,2451191,Tue,1.0,3.2002,37.893,0.0028214000000000004,3.5207,173.51,1.12675,23.305,3.7391,,0.18865,1.6780000000000002,36.728,,6.013999999999999,1175.2,144.0,0.71296,68.649,213.2273,2451191,Tue,42.504,7901.8,0.6815899999999999,4.0551,1675.7,37.808,112.1,0.70635,0.30058,1503.3,34.912,3.7998,0.38184,10.0862,9.3546,1.8268,7.4257,0.08489,0.077459,50.397,2451191,Tue,30.691,6.4483,1.9072,2.6998,3.4254,,0.86544,1.9362,5.1457,5.6769,567.68,103.21,1.6927,0.235398,0.0034598,280.67,14.023,7.7459,216.09,69.921,2451191,Tue,61.696999999999996,0.9998,1.5615,11.909,1.0,0.37585999999999997,2.0117,34.912,1.00022,1.2122,0.61322,1.6934,1.5089,473.01,8.277000000000001,1546.0,,0.50521,2451191.0,Tue,0.0034598,0.18865,0.0028214000000000004
7,2451192,1/13/1999,Wed,7.808,1.3584,32.199,37.053000000000004,6.2528,1.1003,0.32425,3.6830000000000003,10.887,0.5679,,,2202.6,2451192,Wed,1.0,3.2362,38.802,0.0028462,3.5344,171.38,1.13115,23.095,3.7678,,0.19347,1.6889,36.872,,6.1324,1173.3,142.23,0.7108899999999999,68.648,214.0595,2451192,Wed,42.478,8529.6,0.67324,4.0965,1655.2,37.955999999999996,113.41,0.71092,0.30293000000000003,1508.3,34.484,3.7992,0.38431,10.5507,9.2598,1.8459,7.4612,0.09174299999999999,0.081103,50.909,2451192,Wed,30.869,6.3647,1.8838,2.6996,3.4276,,0.8548399999999999,1.9469999999999998,5.0827,5.6074,560.82,101.99,1.6719,0.2352,0.0035024,277.31,14.026,7.7447,218.0,69.11399999999999,2451192,Wed,61.46,0.9998,1.5841,11.763,1.0,0.37829,2.0196,34.484,1.00413,1.3175,0.60623,1.6679,1.5288,477.6,8.2772,1594.2,,0.49965,2451192.0,Wed,0.0035024,0.19347,0.0028462
8,2451193,1/14/1999,Thu,7.7931,1.3627,32.278,37.013000000000005,6.2536,1.0993,0.32022,3.662,10.817,0.5684,,,2194.6,2451193,Thu,1.0,3.2734,38.465,0.0028424,3.5719,171.55,1.12704,22.461,3.7394,,0.19635,1.6824,36.738,,6.1878,1186.2,142.37,0.71068,68.53399999999999,213.2833,2451193,Thu,42.496,8479.1,0.6739,4.0719,1656.8,37.818000000000005,113.26,0.70638,0.3006,1506.2,34.518,3.7997,0.38185,10.5667,9.2779,1.8529,7.4695,0.09009,0.08176599999999999,51.001000000000005,2451193,Thu,30.636,6.3655,1.8857,2.7,3.4166,,0.85567,1.9562,5.0876,5.6128,561.31,102.07,1.6735,0.235231,0.0035054,277.8,14.015,7.7457,216.18,69.311,2451193,Thu,61.236999999999995,0.9998,1.581,11.774000000000001,1.0,0.37587,2.0123,34.518,1.00048,1.3189,0.6049899999999999,1.6618,1.5290000000000001,476.47,8.2783,1584.5,,0.49673999999999996,2451193.0,Thu,0.0035054,0.19635,0.0028424
9,2451194,1/15/1999,Fri,7.8621,1.3783,32.204,36.495,6.282,1.105,0.33033,3.68,10.911,0.56987,,,2195.5,2451194,Fri,1.0,3.2827,38.704,0.0028581,3.5428,172.95,1.1274600000000001,22.369,3.7606,,0.19525,1.6801,36.751999999999995,,6.1087,1183.9,143.54,0.71346,68.385,213.3631,2451194,Fri,42.443999999999996,8261.4,0.6794100000000001,4.0899,1670.4,37.832,114.14,0.71085,0.30207,1506.8,34.8,3.7992,0.38373,10.2853,9.3195,1.8495,7.4848,0.091158,0.0819,50.761,2451194,Fri,30.733,6.4192,1.9011,2.6999,3.4153,,0.86267,1.9562,5.1292,5.6588,565.86,102.85,1.6872,0.236229,0.0034908,279.01,14.022,7.7466,218.2,69.50399999999999,2451194,Fri,61.276,0.99908,1.5749,11.870999999999999,1.0,0.37772,2.013,34.8,1.00086,1.4999,0.60574,1.6624,1.5284,477.62,8.2795,1602.1,,0.49813,2451194.0,Fri,0.0034908,0.19525,0.0028581
