Date,BTC/USD,LTC/USD,ETH/USD,DASH/USD,ETC/USD,XMR/USD,XRP/USD,BCH/USD
2018-04-26 01-AM,8820.02,145.23,614.5,451.09,18.53,269.96,0.788156987,1287.7
2018-04-26 12-AM,8860.02,144.02,617,463.02,18.73,256.96,0.792617389,1292.66
2018-04-25 11-PM,8951.02,146.57,624.05,472.59,18.88,262.78,0.80988829,1288.2
2018-04-25 10-PM,9165,150.65,647.8,494,19.8,271.63,0.8391474,1364
2018-04-25 09-PM,9070,149,638.55,489.07,19.4,272.1,0.819021,1322.96
2018-04-25 08-PM,8957.02,146.85,627.9,477.11,19.19,266,0.804609107,1311.71
2018-04-25 07-PM,8980.98,146.74,630.48,480.71,18.85,264,0.811790782,1317.35
2018-04-25 06-PM,9043.52,147.54,631.68,481.11,19.1,265.2,0.82540207,1335.21
2018-04-25 05-PM,8924.11,145,617.57,459,18.64,257.8,0.800403426,1274.55
2018-04-25 04-PM,8978.8,145.88,621.65,463.37,18.87,257,0.808810304,1280
2018-04-25 03-PM,8929.88,146,608.77,454.32,18.64,255.27,0.795116515,1279.48
2018-04-25 02-PM,9047.02,147.5,618.83,469.95,18.83,258.3,0.799485157,1279
2018-04-25 01-PM,9160.1,149.21,631.61,476.1,19.23,260.86,0.820012152,1300
2018-04-25 12-PM,9164.7,148.1,630.29,475.73,19.35,269.3,0.823723236,1306
2018-04-25 11-AM,9170,147.08,622.37,462.37,19.08,252,0.8137458,1277.61
2018-04-25 10-AM,9290,151.5,637.7,473.62,19.44,262.01,0.8361,1314.99
2018-04-25 09-AM,9299.86,152.25,638.68,487,19.55,265,0.840614345,1288.33
2018-04-25 08-AM,9400.46,154.42,660,497.61,20.25,270.77,0.866252389,1348.68
2018-04-25 07-AM,9416.98,155.2,665.2,501.05,20.41,273.18,0.865043783,1369.57
2018-04-25 06-AM,9399.9,155,659,489,19.97,270.5,0.858022872,1310
2018-04-25 05-AM,9300,152.69,630.79,465.1,19.28,259.23,0.824073,1287.12
2018-04-25 04-AM,9325,153.6,652,491.02,19.95,270,0.83803775,1294.64
2018-04-25 03-AM,9689.5,161.11,693.16,514,21.4,284.5,0.901026605,1370
2018-04-25 02-AM,9612.61,161.23,693.6,520.99,21.5,287.29,0.910314167,1413.47
2018-04-25 01-AM,9543.05,160,683.5,515,21.45,285,0.904203988,1360
2018-04-25 12-AM,9633.63,164.16,705.27,525.6,22.16,291.76,0.922034727,1403.5
2018-04-24 11-PM,9578,165.66,705.61,532.46,22.62,293.61,0.94735998,1429.38
2018-04-24 10-PM,9459.35,164.29,704.5,527.29,22.54,297,0.954448415,1457.88
2018-04-24 09-PM,9456,164.19,706,532,22.29,295.24,0.93037584,1465
2018-04-24 08-PM,9466.99,164.81,710.63,534.37,22.35,296.11,0.93732668,1482.03
2018-04-24 07-PM,9396.92,164.75,708,536.69,22.05,297.08,0.929355388,1482.38
2018-04-24 06-PM,9410,164.88,709.75,538.89,22.31,297.13,0.941,1495.63
2018-04-24 05-PM,9337.43,162.18,699.01,536,21.66,294.37,0.920950721,1464.49
2018-04-24 04-PM,9330.58,162.18,700,530.11,21.71,291.93,0.918035766,1481.33
2018-04-24 03-PM,9295,160.84,698.5,532,21.54,291,0.9099805,1475
2018-04-24 02-PM,9260.02,160.9,692.96,531.94,21.21,290.15,0.905537356,1446.21
2018-04-24 01-PM,9359.12,163.66,699.93,540,21.76,298,0.932074761,1512.78
