Date,DASH/BTC,ETC/BTC,ETH/BTC,LTC/BTC,XMR/BTC,XRP/BTC
2018-04-26 01-AM,0.05174,0.002108,0.06953,0.01645,0.0307,0.000089360
2018-04-26 12-AM,0.05238,0.002092,0.0696,0.01631,0.0288,0.000089460
2018-04-25 11-PM,0.05282,0.002123,0.06978,0.01632,0.02938,0.000090480
2018-04-25 10-PM,0.05411,0.002158,0.07061,0.01645,0.0297,0.000091560
2018-04-25 09-PM,0.05394,0.002139,0.07028,0.01637,0.02976,0.000090300
2018-04-25 08-PM,0.05306,0.00212,0.07017,0.01636,0.02952,0.000089830
2018-04-25 07-PM,0.05328,0.002108,0.07019,0.01632,0.0294,0.000090390
2018-04-25 06-PM,0.05289,0.002121,0.07006,0.01627,0.0294,0.000091270
2018-04-25 05-PM,0.05136,0.002082,0.06912,0.01623,0.029,0.000089690
2018-04-25 04-PM,0.05135,0.002106,0.06928,0.01633,0.02872,0.000090080
2018-04-25 03-PM,0.0505,0.002102,0.0685,0.01633,0.02882,0.000089040
2018-04-25 02-PM,0.05188,0.002085,0.06812,0.01625,0.02885,0.000088370
2018-04-25 01-PM,0.05202,0.00211,0.0687,0.01633,0.02861,0.000089520
2018-04-25 12-PM,0.05193,0.002116,0.06852,0.01622,0.02932,0.000089880
2018-04-25 11-AM,0.05071,0.002065,0.0677,0.01605,0.02742,0.000088740
2018-04-25 10-AM,0.05116,0.002099,0.06859,0.01632,0.02821,0.000090000
2018-04-25 09-AM,0.05223,0.002115,0.06884,0.01633,0.0284,0.000090390
2018-04-25 08-AM,0.05254,0.002151,0.07012,0.01649,0.02892,0.000092150
2018-04-25 07-AM,0.05319,0.002166,0.0703,0.01654,0.02912,0.000091860
2018-04-25 06-AM,0.05212,0.002128,0.06996,0.01656,0.02891,0.000091280
2018-04-25 05-AM,0.05043,0.002072,0.0685,0.01646,0.0282,0.000088610
2018-04-25 04-AM,0.05218,0.002116,0.07,0.0164,0.02877,0.000089870
2018-04-25 03-AM,0.05299,0.0022,0.07156,0.01666,0.02942,0.000092990
2018-04-25 02-AM,0.05387,0.002245,0.07231,0.01679,0.02953,0.000094700
2018-04-25 01-AM,0.0538,0.002259,0.0717,0.01678,0.02975,0.000094750
2018-04-25 12-AM,0.0545,0.002295,0.07275,0.01708,0.03024,0.000095710
2018-04-24 11-PM,0.05536,0.002353,0.07357,0.01727,0.03088,0.000098910
2018-04-24 10-PM,0.05591,0.002369,0.07452,0.01733,0.03138,0.000100900
2018-04-24 09-PM,0.05638,0.002348,0.0747,0.0174,0.03131,0.000098390
2018-04-24 08-PM,0.05709,0.00237,0.07498,0.01749,0.0315,0.000099010
2018-04-24 07-PM,0.05673,0.00235,0.07535,0.0175,0.0316,0.000098900
2018-04-24 06-PM,0.05715,0.00236,0.07533,0.01755,0.03155,0.000100000
2018-04-24 05-PM,0.05713,0.00233,0.07463,0.01732,0.03142,0.000098630
2018-04-24 04-PM,0.0572,0.002321,0.0749,0.01735,0.0313,0.000098390
2018-04-24 03-PM,0.05728,0.002326,0.07527,0.0173,0.0312,0.000097900
2018-04-24 02-PM,0.05744,0.002298,0.0748,0.01734,0.0313,0.000097790
2018-04-24 01-PM,0.05743,0.002326,0.07474,0.01746,0.03174,0.000099590
2018-04-24 12-PM,0.05724,0.002309,0.07397,0.01728,0.03162,0.000098220
2018-04-24 11-AM,0.0575,0.002322,0.07394,0.01738,0.03146,0.000098430
2018-04-24 10-AM,0.05764,0.002331,0.0736,0.01736,0.03131,0.000098220
2018-04-24 09-AM,0.05765,0.002333,0.07358,0.01739,0.03111,0.000098400
2018-04-24 08-AM,0.05704,0.00233,0.07343,0.01736,0.03125,0.000098510
2018-04-24 07-AM,0.05747,0.00232,0.07321,0.01728,0.03124,0.000098720
2018-04-24 06-AM,0.05736,0.002339,0.07352,0.01741,0.03124,0.000098780
2018-04-24 05-AM,0.05818,0.002359,0.0736,0.01753,0.03177,0.000099980
2018-04-24 04-AM,0.05814,0.002318,0.07282,0.01735,0.03157,0.000098990
2018-04-24 03-AM,0.05813,0.002307,0.0726,0.01736,0.03141,0.000099510
2018-04-24 02-AM,0.05701,0.002303,0.07289,0.01735,0.03104,0.000098580
2018-04-24 01-AM,0.0568,0.002315,0.0722,0.0173,0.03102,0.000097870
2018-04-24 12-AM,0.05631,0.002288,0.0721,0.01703,0.03151,0.000097820
2018-04-23 11-PM,0.0563,0.002304,0.072,0.01706,0.0316,0.000098140
2018-04-23 10-PM,0.05629,0.002286,0.07161,0.01701,0.03141,0.000097610
2018-04-23 09-PM,0.0564,0.002276,0.07164,0.017,0.03123,0.000097540
2018-04-23 08-PM,0.05575,0.002258,0.07191,0.01698,0.03134,0.000097470
2018-04-23 07-PM,0.05601,0.002259,0.07206,0.01699,0.03135,0.000097800
2018-04-23 06-PM,0.057,0.002275,0.07168,0.017,0.03154,0.000097200
2018-04-23 05-PM,0.05816,0.002299,0.07225,0.01703,0.0318,0.000097860
2018-04-23 04-PM,0.05881,0.002282,0.07237,0.01706,0.03175,0.000098110
2018-04-23 03-PM,0.05637,0.002272,0.07235,0.01699,0.0316,0.000098070
2018-04-23 02-PM,0.05618,0.002296,0.0724,0.01708,0.03178,0.000098080
2018-04-23 01-PM,0.0542,0.002282,0.07198,0.01705,0.03136,0.000097940
2018-04-23 12-PM,0.0532,0.002289,0.07152,0.01697,0.03131,0.000098000
2018-04-23 11-AM,0.05301,0.002298,0.07162,0.01701,0.03133,0.000097780
2018-04-23 10-AM,0.05326,0.002283,0.07151,0.01697,0.03139,0.000097480
2018-04-23 09-AM,0.05349,0.002262,0.07155,0.01703,0.03141,0.000098220
2018-04-23 08-AM,0.05311,0.002311,0.07159,0.01709,0.03134,0.000097500
2018-04-23 07-AM,0.05242,0.002267,0.07163,0.01682,0.03127,0.000097610
2018-04-23 06-AM,0.05236,0.002175,0.07145,0.01671,0.03127,0.000097400
2018-04-23 05-AM,0.05218,0.002152,0.07129,0.01667,0.03098,0.000097050
2018-04-23 04-AM,0.05241,0.002159,0.07158,0.01662,0.03114,0.000095750
2018-04-23 03-AM,0.0525,0.002163,0.07155,0.01675,0.03135,0.000098250
2018-04-23 02-AM,0.05243,0.002181,0.07127,0.01674,0.03109,0.000098720
2018-04-23 01-AM,0.05268,0.002172,0.07115,0.01672,0.03103,0.000098980
2018-04-23 12-AM,0.05316,0.002128,0.07065,0.0167,0.03054,0.000097790
2018-04-22 11-PM,0.05446,0.00214,0.07129,0.01681,0.0307,0.000099340
2018-04-22 10-PM,0.0529,0.002149,0.0715,0.0168,0.03081,0.000100000
2018-04-22 09-PM,0.05267,0.002138,0.072,0.01682,0.03091,0.000099300
2018-04-22 08-PM,0.05267,0.002141,0.07164,0.01682,0.03104,0.000098750
2018-04-22 07-PM,0.05245,0.002147,0.07164,0.01686,0.03086,0.000098850
2018-04-22 06-PM,0.05259,0.002154,0.0718,0.01681,0.0305,0.000099330
2018-04-22 05-PM,0.05235,0.00214,0.07118,0.01682,0.03055,0.000099590
2018-04-22 04-PM,0.05215,0.002149,0.07105,0.01681,0.03075,0.000099470
2018-04-22 03-PM,0.05278,0.002142,0.07128,0.01688,0.03103,0.000099950
2018-04-22 02-PM,0.05256,0.002135,0.07065,0.01698,0.03138,0.000099870
2018-04-22 01-PM,0.05207,0.002151,0.07004,0.0169,0.03132,0.000099400
2018-04-22 12-PM,0.05294,0.002151,0.07013,0.01689,0.0311,0.000100500
2018-04-22 11-AM,0.05254,0.002155,0.06981,0.01695,0.03126,0.000099810
2018-04-22 10-AM,0.05151,0.002137,0.0695,0.01682,0.0297,0.000099590
2018-04-22 09-AM,0.05152,0.002151,0.06957,0.01683,0.0291,0.000100500
2018-04-22 08-AM,0.05106,0.002132,0.06901,0.01666,0.02842,0.000097200
2018-04-22 07-AM,0.05043,0.0021,0.06879,0.01667,0.02867,0.000097990
2018-04-22 06-AM,0.05002,0.002103,0.06867,0.01666,0.02853,0.000097210
2018-04-22 05-AM,0.04988,0.002102,0.06829,0.01654,0.02821,0.000097050
2018-04-22 04-AM,0.04988,0.002083,0.06818,0.01655,0.02843,0.000096530
2018-04-22 03-AM,0.04975,0.002095,0.06793,0.01651,0.02822,0.000096100
2018-04-22 02-AM,0.04982,0.00208,0.06745,0.01651,0.02825,0.000096300
2018-04-22 01-AM,0.04989,0.002076,0.06742,0.01651,0.02837,0.000095800
2018-04-22 12-AM,0.04998,0.002094,0.0679,0.01663,0.02863,0.000097220
2018-04-21 11-PM,0.0502,0.002097,0.06852,0.01664,0.02861,0.000097450
2018-04-21 10-PM,0.04987,0.002102,0.06866,0.01671,0.02855,0.000096160
2018-04-21 09-PM,0.04987,0.002091,0.06914,0.01669,0.02843,0.000095930
2018-04-21 08-PM,0.05001,0.002098,0.06921,0.0169,0.02855,0.000096970
2018-04-21 07-PM,0.04996,0.002108,0.06932,0.01686,0.02863,0.000097640
2018-04-21 06-PM,0.05004,0.002089,0.069,0.01694,0.02849,0.000097260
2018-04-21 05-PM,0.05027,0.002106,0.06864,0.01687,0.02853,0.000096980
2018-04-21 04-PM,0.05,0.002139,0.06891,0.01685,0.02885,0.000098880
